candidate_id,h_nm,mpi_size,iterations,ksp_reason,reported_residual,condensed_true_residual,full_true_residual,peak_rss_gb,setup_s,solve_s,R_total,T_total,A_volume_total,rta_delta_from_direct,classification
task027_baseline,5,4,1201,2,,9.839489937056112e-7,9.839489937056112e-7,1.9911727905273438,,,0.08902160321964928,0.4425882751984558,0.4683901190307091,,baseline
compact_restart90,5,4,855,2,9.924905369583926e-7,9.924905377128957e-7,9.924905377128957e-7,1.696136474609375,37.18744698299997,76.26321176900092,0.08902160347220633,0.4425882732190078,0.46839012217150455,5.43811706e-9,pass
task027_baseline,3,4,993,2,,9.932648742620389e-7,9.932648742620389e-7,5.082275390625,,,0.004613032446518377,0.5836533645749048,0.41173360359653965,,baseline
compact_restart90,3,4,962,2,9.90389049160905e-7,9.903890492393131e-7,9.903890492393131e-7,3.8075027465820312,71.7939152569961,384.1960312770025,0.00461303217936614,0.5836533577498912,0.4117336117299131,7.71929111e-10,pass_engineering
task027_baseline,2,4,1804,2,,9.997378035033273e-7,9.997378035033273e-7,13.080257415771484,193.4947765460238,2345.2557760530035,,,,,baseline
compact_restart90_attempt1,2,4,1800,-3,1.461129612942352e-6,1.4611296131519325e-6,1.4611296131519325e-6,9.342113494873047,194.3721527949965,2220.4333135350025,,,,,memory_pass_residual_fail_superseded_by_same_candidate_qualification
compact_restart90_qualified,2,4,1873,2,9.972228395900735e-7,9.972228402088593e-7,9.972228402088593e-7,9.37472915649414,184.1067821050019,2393.6892328839967,0.0013429344153828037,0.5992132360056356,0.39944383221804436,6.561387766446103e-9,pass_workstation_iteration_target_missed
