case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag,9.601334814717081e-07,9.601289589791647e-07,1.0000047102969878,0.9660013530791134,0.25853701059871953,1.0000000000000004,0.0,1.0,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag,9.601334814717081e-07,9.601309890822346e-07,1.0000025958848344,0.9660028928426988,0.25853125733562177,1.0000000000000004,0.0,0.3,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag,9.601334814717081e-07,9.601325425194866e-07,1.0000009779402113,0.9660033483418304,0.25852955535561556,1.0000000000000004,0.0,0.1,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag,9.601334814717081e-07,9.60133188429718e-07,1.0000003052097288,0.9660035094005393,0.2585289535542242,1.0000000000000004,0.0,0.03,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag,9.601334814717081e-07,9.601333827094912e-07,1.0000001028630174,0.9660035555729192,0.258528781029266,1.0000000000000004,0.0,0.01,direct dense coarse solve; left lift p=-diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.605864781808526e-07,0.9995284165252853,0.9660276212853763,0.25843884172801385,1.0000000000000002,0.0,1.0,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601380084670467e-07,0.9999952850576702,0.966008696581753,0.2585095706708413,1.0000000000000002,0.0,0.3,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601224757377088e-07,1.0000114628438324,0.9660050845408452,0.25852306790929636,1.0000000000000002,0.0,0.1,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.601288657186796e-07,1.0000048074307453,0.9660040094186333,0.2585270852098965,1.0000000000000002,0.0,0.03,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_diag_sign_flip,9.601334814717081e-07,9.60131817742893e-07,1.0000017328129163,0.9660037202604006,0.25852816566684866,1.0000000000000002,0.0,0.01,direct dense coarse solve; left lift p=+diag(A_FE)^-*D_j^H plus selected aux coordinate
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe,9.601334814717081e-07,9.60183945440098e-07,0.9999474434366149,0.9660032739591695,0.2585298332884725,1.0000000000000004,0.0,1.0,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe,9.601334814717081e-07,9.601460566276702e-07,0.9999869028718337,0.9660034462461019,0.2585291895331253,1.0000000000000004,0.0,0.3,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe,9.601334814717081e-07,9.601374289858824e-07,0.9999958885946375,0.966003530631775,0.2585288742228719,1.0000000000000004,0.0,0.1,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe,9.601334814717081e-07,9.601346400841955e-07,0.9999987932812348,0.9660035638588291,0.25852875006861564,1.0000000000000004,0.0,0.03,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe,9.601334814717081e-07,9.601338652337888e-07,0.9999996003035675,0.9660035737039017,0.2585287132820856,1.0000000000000004,0.0,0.01,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.608281483249363e-07,0.999277012383079,0.9660268580153003,0.25844169476515777,1.0000000000000002,0.0,1.0,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601256318041102e-07,1.0000081756671606,0.9660071127558286,0.2585154891010361,1.0000000000000002,0.0,0.3,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601102622570826e-07,1.0000241839042225,0.9660044272109364,0.25852552409553486,1.0000000000000002,0.0,0.1,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.60124352497336e-07,1.0000095081166813,0.9660037986350355,0.2585278728158373,1.0000000000000002,0.0,0.03,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601302324653331e-07,1.0000033839225817,0.9660036487055799,0.25852843303495054,1.0000000000000002,0.0,0.01,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_aux_residual,9.601334814717081e-07,9.602186382776307e-07,0.9999113151916367,0.9660146197199889,0.25848743584020695,1.0000000000000002,0.0,1.0,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_aux_residual,9.601334814717081e-07,9.601412753183491e-07,0.9999918826043195,0.9660066646387417,0.2585171635956375,1.0000000000000002,0.0,0.3,direct dense coarse solve; selected auxiliary coordinate test basis
