"case","profile","iterations","initial_ksp_residual","final_ksp_residual","min_ksp_residual","last_100_ratio","history_file","notes"
"task014a_tiny10_stage4_block_grating_p1_h5","not_run_gate_closed","0","","","","","","Tiny sanity case is not used to open the Stage D default100 KSP gate."
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_true_fe_lift_top_bottom_y_minres_additive","300","93.08422677303113","2.192122093422124","2.192122093422124","0.9999949639046409","docs/task017_petrov_adjoint_coarse_correction/outcomes/raw_runs/task014a_default100_stage4_block_grating_p1_h5/true_fe_lift_ksp_history.csv","Stage D KSP with best true-FE sampled lift and damped minres additive coarse PC"
