case,profile,mode_set,z_type,w_type,pc_form,status,iterations,true_relative_residual_norm,improvement,ksp_final_residual,rss_upper_gb,setup_time_s,solve_time_s,condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,not_run_gate_closed,,,,,not_run,0,,,,0.26174163818359375,,,1.0389200862419712,0.0,,Tiny sanity case is not used to open the Stage D default100 KSP gate.
task014a_default100_stage4_block_grating_p1_h5,stage4_real_split_fgmres_true_fe_lift_top_bottom_y_minres_additive,top_bottom_y,default100_scipy_gmres_diag_loose,W_AZ,minres_additive,not_converged,300,0.023549877024463182,0.9114934875536803,2.192122093422124,1.8015022277832031,0.0009892219968605787,51.60332979400118,21.89999775674894,0.0,0.1,DIVERGED_MAX_IT; reused pre-set-up AMS helper; coarse_apply_count=300; pc_apply_time_s=48.6797
