iteration,ksp_residual
0,93.08422677303113
1,89.8077212100796
2,85.6125278333414
3,82.38297555818399
4,25.41390633260955
5,7.274628730264837
6,2.8971918520166193
7,2.098978720091808
8,2.0171948625785796
9,2.015489076329429
10,2.015272666958876
11,2.013265721321847
12,2.008285720164191
13,2.005844292432077
14,2.00568793258557
15,2.005361238791001
16,2.001845846619876
17,2.0004121804444805
18,2.000277465682488
19,2.0002630154490513
20,2.0002236209169113
21,1.9997614083254525
22,1.9996508851858525
23,1.9996415655626514
24,1.9996399842023749
25,1.9991183585135808
26,1.9989720375542046
27,1.998972031934667
28,1.9989598978667165
29,1.9988596029307462
30,1.9986097032029762
31,1.998609702290922
32,1.9985961797091698
33,1.9985859762736973
34,1.9985612448098709
35,1.998560992018376
36,1.998547694239046
37,1.9985463102088439
38,1.9985323274369156
39,1.9985322727533994
40,1.9985141286073063
41,1.9985036990789693
42,1.9984951193193892
43,1.9984877591932682
44,1.998463979385572
45,1.9984639754234235
46,1.9984563830721545
47,1.998455945012317
48,1.998447901944724
49,1.9984477698627892
50,1.9984380670714417
51,1.9984331323290379
52,1.9984310893924624
53,1.9984218733601342
54,1.998407396701167
55,1.998393277292229
56,1.9983925226342343
57,1.9983689578921537
58,1.9983634750083654
59,1.998359971725203
60,1.9983517595154119
61,1.9983414396587302
62,1.9983331178511274
63,1.9983289014655625
64,1.9983203142325079
65,1.9983060991408292
66,1.998303795443935
67,1.9982949810259854
68,1.9982921045721231
69,1.9982729133679276
70,1.9982727735952552
71,1.9982486091838234
72,1.998248338038905
73,1.9982383403276995
74,1.9982372760692104
75,1.9982271788504247
76,1.9982270768946875
77,1.9982155476396275
78,1.9982124661590057
79,1.9981960732065223
80,1.9981958372708395
81,1.9981958372708375
82,1.9981958372702324
83,1.9981958372701771
84,1.9981958372603685
85,1.9981958370895851
86,1.9981958344054611
87,1.9981958343373465
88,1.9981944407271215
89,1.9981943554924753
90,1.9981925481519018
91,1.998192529184489
92,1.998192053570253
93,1.998191994410568
94,1.9981917132624634
95,1.9981917131095905
96,1.9981916268983386
97,1.9981914949017041
98,1.9981914894312423
99,1.9981914646912498
100,1.9981914409468278
101,1.9981914126742215
102,1.9981914050518064
103,1.998191342534811
104,1.9981913320218088
105,1.9981913318642939
106,1.9981913227425705
107,1.9981912027630562
108,1.9981912027552846
109,1.9981911747612338
110,1.9981911366730472
111,1.998191126648474
112,1.9981910080887213
113,1.9981910078132659
114,1.9981909703571663
115,1.998190933911644
116,1.9981904063336116
117,1.9981904006444995
118,1.9981903848653748
119,1.9981903845273827
120,1.9981898772353008
121,1.9981896898263591
122,1.9981896838153568
123,1.9981896724921686
124,1.9981896721492503
125,1.9981896672736428
126,1.9981896672736388
127,1.9981894895078367
128,1.9981893383479572
129,1.998189250041441
130,1.9981889744775854
131,1.9981888505355379
132,1.9981887353849597
133,1.9981884168136297
134,1.9981877945521196
135,1.9981877882156138
136,1.9981877793605087
137,1.9981877133608492
138,1.998187498395373
139,1.9981874843486878
140,1.9981874075322492
141,1.9981873900849503
142,1.9981872942980827
143,1.9981866618226134
144,1.9981864503921367
145,1.9981864498960658
146,1.9981864306684547
147,1.9981862973897488
