iteration,ksp_residual
0,93.08422677303113
1,85.66610768237717
2,84.61253952497154
3,83.87405480958118
4,25.54469340001145
5,6.943308420584426
6,2.7129510773478316
7,2.063571424507663
8,2.0077816140600797
9,2.005941973067128
10,2.005893989961462
11,2.005206337692274
12,2.003000081165735
13,2.0017125625854844
14,2.0017121201804082
15,2.001671886904866
16,2.0001594641584752
17,1.9994381294326395
18,1.9993239094154827
19,1.9993238975716643
20,1.9993236226475772
21,1.9991012071279683
22,1.9990037941463368
23,1.9990037699519347
24,1.9989935950280076
25,1.9988083752234855
26,1.998697029931165
27,1.9986964793600819
28,1.9986878202487104
29,1.998656574941667
30,1.9985244353720726
31,1.9985237983189923
32,1.9985123382504162
33,1.99850523772853
34,1.9984924351549949
35,1.9984920393051253
36,1.9984772333866427
37,1.9984762375076546
38,1.9984654811478422
39,1.998464479734333
40,1.9984434460945175
41,1.9984351015391228
42,1.9984279057046828
43,1.9984176008643215
44,1.998392354865259
45,1.9983922028759349
46,1.9983842834257977
47,1.9983838840970412
48,1.9983765984660478
49,1.9983765121524177
50,1.9983657702143078
51,1.9983605303475533
52,1.9983584792992584
53,1.9983474032959674
54,1.9983284859350408
55,1.9983165893368353
56,1.9983134249214372
57,1.9982906783478405
58,1.9982844091895422
59,1.9982818714726704
60,1.9982719789732948
61,1.998264410990947
62,1.9982565218280772
63,1.9982529105818385
64,1.9982438208517435
65,1.998233010602812
66,1.9982308804384563
67,1.998221747516351
68,1.9982188757549038
69,1.9982033575291316
70,1.9982032095485862
71,1.9981749573855316
72,1.9981748354010942
73,1.9981648110722054
74,1.9981636174278194
75,1.998153240343412
76,1.9981532402530289
77,1.9981413854156516
78,1.9981389127885172
79,1.9981228338795398
80,1.998122564439152
81,1.9981225644391505
82,1.9981225644388212
83,1.998122564438813
84,1.9981225644345548
85,1.9981225643732916
86,1.998122563680269
87,1.998122563300326
88,1.9981217353561456
89,1.9981216934614052
90,1.998120153277652
91,1.998120137783562
92,1.9981192685384335
93,1.9981191725252827
94,1.9981190150257158
95,1.9981190143848968
96,1.9981189286719978
97,1.9981187897471162
98,1.9981187513571774
99,1.998118731893072
100,1.9981187215983955
101,1.9981187003928655
102,1.9981186949451302
103,1.9981186513355838
104,1.9981186470236607
105,1.9981186457240996
106,1.9981186385948204
107,1.9981185862798063
