case,p,h_nm,h1_degree_mode,status,n_real,nnz_real,real_block_estimated_aij_memory_gb,B_rows,B_nnz,B_estimated_aij_memory_gb,G_rows,G_cols,G_nnz,H1_dofs,Pi_present,Pi_nnz,rss_after_assembly_gb,rss_after_solve_gb,elapsed_wall_s,notes
fe_only_p1_h10_standard,1,10.0,standard,completed,1812,90360.0,0.0010166056454181671,906,22590.0,0.00025584176182746887,906,2233,51126.0,2233,False,,0.17723464965820312,0.24811553955078125,2.0352542420005193,small baseline
fe_only_p1_h5_standard,1,5.0,standard,completed,10366,580892.0,0.006530594080686569,5183,145223.0,0.0016423054039478302,5183,13167,329229.0,13167,False,,0.2073974609375,0.816741943359375,5.278205774000526,small baseline
fe_only_p2_h10_standard,2,10.0,standard,completed,12200,2166080.0,0.024253282696008682,6100,541520.0,0.006074685603380203,6100,6880,629450.0,6880,False,,0.3012657165527344,0.8882293701171875,153.3451469799984,p2 coarse; standard H1 succeeds but slow
fe_only_p2_h5_standard,2,5.0,standard,completed,74892,14233968.0,0.1593559868633747,37446,3558492.0,0.039908748120069504,37446,42160,4130355.0,42160,False,,1.0807266235351562,6.306327819824219,336.4487666390014,standard H1 p+1; AMS hierarchy dominates RSS
fe_only_p2_h5_same,2,5.0,same,completed,74892,14233968.0,0.1593559868633747,37446,3558492.0,0.039908748120069504,37446,13167,1572090.0,13167,False,,1.0422897338867188,1.3231430053710938,257.1664284289982,H1 degree p; best successful memory result
fe_only_p2_h5_linear,2,5.0,linear,completed,74892,14233968.0,0.1593559868633747,37446,3558492.0,0.039908748120069504,37446,1914,354855.0,1914,False,,1.3224258422851562,1.3224258422851562,14.275585210001736,H1 degree 1; cheap but residual weaker
fe_only_p2_h4_same,2,4.0,same,completed,165756,32230224.0,0.3608183152973652,82878,8057556.0,0.09035895392298698,82878,28755,3551549.0,28755,False,,1.9244956970214844,,24.245405163001124,equivalence-only memory audit; solves skipped
