case,p,best_label,best_variant,best_residual,improvement_vs_baseline,gate,allow_p2_h2_preflight
target_p1_h5,1,target_p1_h5_baseline_gcrotmk_jacobi,jacobi,4.5201050876364004e-05,,strong,False
target_p2_h5,2,target_p2_h5_block_schur_splu_exact_fe_block_one_apply,block_fe_aux_schur_one_apply,8.15535165157522e-12,24839724460.50565,production_like,True
