case,stage_case,mesh_nm,method,R,T,A,role,status,source,dofs,cells,elapsed_s,max_rss_mb,result_dir,dR_probe_port,dT_probe_port,dA_flux_port,dA_volume_port,closure_error_port_volume,consistency_pass
flat_layer,stage4_flat_layer_sanity,10,port,1.000000000917605,1.0253831031324647e-10,-1.0201434133256665e-09,primary,ok,dtn_auxiliary_port_amplitudes,5335,1500,12.557995220995508,393.48046875,results/3D_stage4_flat_layer_sanity_normal_p1_h10p0_20260702_143338,-0.9962810717134564,-7.256292409080371e-11,1.2411701657817214e-09,1.4949404188355853e-09,1.4949403936981298e-09,False
flat_layer,stage4_flat_layer_sanity,10,probe_eh_fourier,0.0037189292041487527,2.9975386222442756e-11,0.9962810707658759,cross_check,ok,eh_fourier_orders,5335,1500,12.557995220995508,393.48046875,results/3D_stage4_flat_layer_sanity_normal_p1_h10p0_20260702_143338,-0.9962810717134564,-7.256292409080371e-11,1.2411701657817214e-09,1.4949404188355853e-09,1.4949403936981298e-09,False
flat_layer,stage4_flat_layer_sanity,10,net_flux,0.9999999998009651,-2.199182241380608e-11,2.2102675245605496e-10,diagnostic,ok,sampled_poynting_flux,5335,1500,12.557995220995508,393.48046875,results/3D_stage4_flat_layer_sanity_normal_p1_h10p0_20260702_143338,-0.9962810717134564,-7.256292409080371e-11,1.2411701657817214e-09,1.4949404188355853e-09,1.4949403936981298e-09,False
flat_layer,stage4_flat_layer_sanity,10,volume_absorption,,,4.74797005509919e-10,absorption_check,ok,volume_integral_Im_epsilon_E2,5335,1500,12.557995220995508,393.48046875,results/3D_stage4_flat_layer_sanity_normal_p1_h10p0_20260702_143338,-0.9962810717134564,-7.256292409080371e-11,1.2411701657817214e-09,1.4949404188355853e-09,1.4949403936981298e-09,False
flat_layer,stage4_flat_layer_sanity,5,port,0.01842873596246358,1.0440976785165303,-0.06252641447899387,primary,ok,dtn_auxiliary_port_amplitudes,39270,12000,128.0408389089862,1732.7421875,results/3D_stage4_flat_layer_sanity_normal_p1_h5p0_20260702_143437,0.6208168094777401,-1.0397405124322523,0.08727223441429599,0.09162752920241608,0.09162752920241601,False
flat_layer,stage4_flat_layer_sanity,5,probe_eh_fourier,0.6392455454402036,0.004357166084278144,0.3563972884755182,cross_check,ok,eh_fourier_orders,39270,12000,128.0408389089862,1732.7421875,results/3D_stage4_flat_layer_sanity_normal_p1_h5p0_20260702_143437,0.6208168094777401,-1.0397405124322523,0.08727223441429599,0.09162752920241608,0.09162752920241601,False
flat_layer,stage4_flat_layer_sanity,5,net_flux,1.5159185709707266,-0.5406643909060287,0.024745819935302116,diagnostic,ok,sampled_poynting_flux,39270,12000,128.0408389089862,1732.7421875,results/3D_stage4_flat_layer_sanity_normal_p1_h5p0_20260702_143437,0.6208168094777401,-1.0397405124322523,0.08727223441429599,0.09162752920241608,0.09162752920241601,False
flat_layer,stage4_flat_layer_sanity,5,volume_absorption,,,0.029101114723422205,absorption_check,ok,volume_integral_Im_epsilon_E2,39270,12000,128.0408389089862,1732.7421875,results/3D_stage4_flat_layer_sanity_normal_p1_h5p0_20260702_143437,0.6208168094777401,-1.0397405124322523,0.08727223441429599,0.09162752920241608,0.09162752920241601,False
flat_layer,stage4_flat_layer_sanity,3,port,0.001889043208939411,1.071057949440925,-0.07294699264986437,primary,ok,dtn_auxiliary_port_amplitudes,186235,58956,2286.8731557580177,12467.3125,results/3D_stage4_flat_layer_sanity_normal_p1_h3p0_20260702_143726,0.7601249316379917,-1.042374391474493,0.11381622706481886,0.10689806468099806,0.10689806468099805,False
flat_layer,stage4_flat_layer_sanity,3,probe_eh_fourier,0.7620139748469311,0.028683557966431936,0.20930246718663692,cross_check,ok,eh_fourier_orders,186235,58956,2286.8731557580177,12467.3125,results/3D_stage4_flat_layer_sanity_normal_p1_h3p0_20260702_143726,0.7601249316379917,-1.042374391474493,0.11381622706481886,0.10689806468099806,0.10689806468099805,False
