method,R,T,A,role,status,source
port,0.0006617186007147876,0.9671956663828667,0.032142615016418574,primary,ok,dtn_auxiliary_port_amplitudes
probe_eh_fourier,0.0428492589829123,0.8334011343301931,0.12374960668689461,cross_check,ok,eh_fourier_orders
net_flux,0.1846441488311773,0.7917751887821972,0.023580662386625484,diagnostic,ok,sampled_poynting_flux
volume_absorption,,,0.03214261501640983,absorption_check,ok,volume_integral_Im_epsilon_E2
