auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,power_carrying,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
166,top,outgoing_up,air,-9,1,-9,1,s,1.2547231423247673e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.2248379216730971e+00+0.0000000000000000e+00j,1.2248379216730971e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,4.0817127455739627e-15-1.5083045923347749e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,4.0817127455739627e-15-1.5083045923347749e-15j,-5.4676930598022366e-01+8.3728330094293923e-01j,-9.6887699721065433e-16+4.2422445762727041e-15j,1.1535127046020764e-26,1.0575162422418403e-27,dtn_port_modal_amplitudes,1.0575162422418403e-27,0.0
167,top,outgoing_up,air,-9,1,-9,1,p,1.2547231423247673e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.2248379216730971e+00+0.0000000000000000e+00j,1.2248379216730971e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,4.0320138557522261e-15-1.3696581291112470e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,4.0320138557522261e-15-1.3696581291112470e-14j,-5.4676930598022366e-01+8.3728330094293923e-01j,9.2633373774436631e-15+1.0864808117435173e-14j,1.2418435782828766e-25,1.1384961336952962e-26,dtn_port_modal_amplitudes,1.1384961336952962e-26,0.0
168,top,outgoing_up,air,-9,2,-9,2,s,1.2547231423247673e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.1448718399312459e+00+0.0000000000000000e+00j,1.1448718399312459e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.7427948801282081e-15-2.0311308191351148e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,2.7427948801282081e-15-2.0311308191351148e-15j,-3.8232565235676236e-01-9.2402764869346632e-01j,-2.9254618768200592e-15-1.7578648884855879e-15j,6.63275422225126e-27,6.080769889091543e-28,dtn_port_modal_amplitudes,6.080769889091543e-28,0.0
169,top,outgoing_up,air,-9,2,-9,2,p,1.2547231423247673e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.1448718399312459e+00+0.0000000000000000e+00j,1.1448718399312459e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,4.2473809666122394e-14-4.2281520739468691e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,4.2473809666122394e-14-4.2281520739468691e-14j,-3.8232565235676236e-01-9.2402764869346632e-01j,-5.5308121180752492e-14-2.3081664477487552e-14j,2.0451883437008197e-24,1.8749857572252794e-25,dtn_port_modal_amplitudes,1.8749857572252794e-25,0.0
170,top,outgoing_up,air,-9,3,-9,3,s,1.2547231423247673e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,9.9744884030846259e-01+0.0000000000000000e+00j,9.9744884030846259e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-8.3408835387479169e-16-2.5615065627517606e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.3408835387479169e-16-2.5615065627517606e-16j,-6.5012268074101154e-01-7.5982925712696847e-01j,3.4762899372578451e-16+8.0029408563412583e-16j,3.776817925459288e-28,3.462507421226143e-29,dtn_port_modal_amplitudes,3.462507421226143e-29,0.0
171,top,outgoing_up,air,-9,3,-9,3,p,1.2547231423247673e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,9.9744884030846259e-01+0.0000000000000000e+00j,9.9744884030846259e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.2811391074815515e-14-1.5637951729658103e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.2811391074815515e-14-1.5637951729658103e-14j,-6.5012268074101154e-01-7.5982925712696847e-01j,9.4492562786672541e-15+3.5097642005463378e-14j,6.5540129781428e-25,6.008581568800998e-26,dtn_port_modal_amplitudes,6.008581568800998e-26,0.0
172,top,outgoing_up,air,-9,4,-9,4,s,1.2547231423247673e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,7.4346883718411061e-01+0.0000000000000000e+00j,7.4346883718411061e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.4697578997936735e-17-1.5969447984758077e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.4697578997936735e-17-1.5969447984758077e-15j,-7.3953070440779101e-01+6.7312282477874452e-01j,1.1079952258474257e-15+1.1509027510813095e-15j,9.437410107755672e-28,8.652019551957846e-29,dtn_port_modal_amplitudes,8.652019551957846e-29,0.0
173,top,outgoing_up,air,-9,4,-9,4,p,1.2547231423247673e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,7.4346883718411061e-01+0.0000000000000000e+00j,7.4346883718411061e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.0492377921044396e-15+9.6117922655236773e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.0492377921044396e-15+9.6117922655236773e-16j,-7.3953070440779101e-01+6.7312282477874452e-01j,3.8266054094296482e-15-4.7827015808540838e-15j,1.387275402166446e-26,1.2718249780869876e-27,dtn_port_modal_amplitudes,1.2718249780869876e-27,0.0
174,top,outgoing_up,air,-8,-4,-8,-4,s,2.5113602037606841e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.1921132403397248e-15-9.6212815491961371e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,3.1921132403397248e-15-9.6212815491961371e-15j,-2.5343079167905125e-01-9.6735352060605506e-01j,-1.0116160364985441e-14-6.4957298123600963e-16j,3.6334124414567225e-26,3.331036282716593e-27,dtn_port_modal_amplitudes,3.331036282716593e-27,0.0
175,top,outgoing_up,air,-8,-4,-8,-4,p,2.5113602037606841e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,7.0685550141745611e-15-1.5687796484905140e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,7.0685550141745611e-15-1.5687796484905140e-14j,-2.5343079167905125e-01-9.6735352060605506e-01j,-1.6967034653493469e-14-2.8620208956899982e-15j,1.0468701741461426e-25,9.597486081091724e-27,dtn_port_modal_amplitudes,9.597486081091724e-27,0.0
176,top,outgoing_up,air,-8,-3,-8,-3,s,2.5113602037606841e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.2233769551657660e-15-3.9541703246283500e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2233769551657660e-15-3.9541703246283500e-16j,6.3482820522545347e-01+7.7265331802188586e-01j,-4.7111391462728606e-16-1.1962681486342975e-15j,8.002986049787361e-28,7.336969675600195e-29,dtn_port_modal_amplitudes,7.336969675600195e-29,0.0
177,top,outgoing_up,air,-8,-3,-8,-3,p,2.5113602037606841e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,4.2215572447945929e-14+3.0206842717587731e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,4.2215572447945929e-14+3.0206842717587731e-14j,6.3482820522545347e-01+7.7265331802188586e-01j,3.4602188369852168e-15+5.1794157872032507e-14j,1.3045876435435239e-24,1.1960185761033372e-25,dtn_port_modal_amplitudes,1.1960185761033372e-25,0.0
178,top,outgoing_up,air,-8,-2,-8,-2,s,2.5113602037606841e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.3309357748441087e-16+8.0362383411129497e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.3309357748441087e-16+8.0362383411129497e-16j,-3.7640444850344401e-02+9.9929134736145309e-01j,-7.7922442007244352e-16-6.6289369265856798e-16j,5.850999334992031e-28,5.364073412814964e-29,dtn_port_modal_amplitudes,5.364073412814964e-29,0.0
179,top,outgoing_up,air,-8,-2,-8,-2,p,2.5113602037606841e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,8.6797290096372128e-15+2.7548753384396549e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,8.6797290096372128e-15+2.7548753384396549e-14j,-3.7640444850344401e-02+9.9929134736145309e-01j,-2.7855939748725202e-14+7.6366307643115448e-15j,4.663897018720569e-25,4.2757629194398217e-26,dtn_port_modal_amplitudes,4.2757629194398217e-26,0.0
180,top,outgoing_up,air,-8,-1,-8,-1,s,2.5113602037606841e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.7479351299697173e-15+3.2382985182472773e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7479351299697173e-15+3.2382985182472773e-15j,9.2779553652789715e-01-3.7308905424698746e-01j,-4.1355268018391591e-16+3.6566143757002143e-15j,8.118325274037459e-27,7.442710256111729e-28,dtn_port_modal_amplitudes,7.442710256111729e-28,0.0
181,top,outgoing_up,air,-8,-1,-8,-1,p,2.5113602037606841e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-9.3617462608804778e-15+5.1852671601490439e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-9.3617462608804778e-15+5.1852671601490439e-15j,9.2779553652789715e-01-3.7308905424698746e-01j,-6.7512199741536683e-15+8.3036327854631370e-15j,6.866016890398432e-26,6.294620208459632e-27,dtn_port_modal_amplitudes,6.294620208459632e-27,0.0
182,top,outgoing_up,air,-8,0,-8,0,s,2.5113602037606841e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2312868891708253e+00+0.0000000000000000e+00j,1.2312868891708253e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.6092141820948479e-05-1.0400925531862158e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,2.6092141820948479e-05-1.0400925531862158e-04j,-9.8817619159199799e-01+1.5332258271609847e-01j,-9.8366656832740053e-06+1.0677998438365777e-04j,7.041725609881084e-06,6.455706275405483e-07,dtn_port_modal_amplitudes,6.455706275405483e-07,0.0
183,top,outgoing_up,air,-8,0,-8,0,p,2.5113602037606841e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2312868891708253e+00+0.0000000000000000e+00j,1.2312868891708253e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-5.3846784523795750e-14+3.6725389261764636e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-5.3846784523795750e-14+3.6725389261764636e-14j,-9.8817619159199799e-01+1.5332258271609847e-01j,4.7579278927331599e-14-4.4547083369569840e-14j,2.6015817229684408e-24,2.385075531966261e-25,dtn_port_modal_amplitudes,2.385075531966261e-25,0.0
184,top,outgoing_up,air,-8,1,-8,1,s,2.5113602037606841e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.6196821661651485e-15-3.4102498602806011e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.6196821661651485e-15-3.4102498602806011e-15j,9.2779553652789715e-01-3.7308905424698746e-01j,-2.7750607794798713e-15-2.5597289112579591e-15j,8.544760697312498e-27,7.833657303839473e-28,dtn_port_modal_amplitudes,7.833657303839473e-28,0.0
185,top,outgoing_up,air,-8,1,-8,1,p,2.5113602037606841e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1.2053638186360980e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.0948487823834234e-14+6.4589465530694006e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.0948487823834234e-14+6.4589465530694006e-15j,9.2779553652789715e-01-3.7308905424698746e-01j,-7.7481958737669291e-15+1.0077342750239009e-14j,9.687143507954616e-26,8.880969892848776e-27,dtn_port_modal_amplitudes,8.880969892848776e-27,0.0
186,top,outgoing_up,air,-8,2,-8,2,s,2.5113602037606841e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.2749802042214985e-15-1.7841728094794960e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,2.2749802042214985e-15-1.7841728094794960e-15j,-3.7640444850344401e-02+9.9929134736145309e-01j,1.6972771837978101e-15+2.3405250917358319e-15j,4.672893317800031e-27,4.284010537657324e-28,dtn_port_modal_amplitudes,4.284010537657324e-28,0.0
187,top,outgoing_up,air,-8,2,-8,2,p,2.5113602037606841e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1.1240131363894643e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.3816428739227966e-13+3.9367288037306806e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,1.3816428739227966e-13+3.9367288037306806e-14j,-3.7640444850344401e-02+9.9929134736145309e-01j,-4.4539955544642968e-14+1.3658457467119030e-13j,1.1538076789429592e-23,1.0577866685278132e-24,dtn_port_modal_amplitudes,1.0577866685278132e-24,0.0
188,top,outgoing_up,air,-8,3,-8,3,s,2.5113602037606841e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.9791282215610725e-16-1.5569767697097326e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.9791282215610725e-16-1.5569767697097326e-15j,6.3482820522545347e-01+7.7265331802188586e-01j,8.8691416395112057e-16-1.3731267624171111e-15j,1.2936875159578527e-27,1.186025567861324e-28,dtn_port_modal_amplitudes,1.186025567861324e-28,0.0
189,top,outgoing_up,air,-8,3,-8,3,p,2.5113602037606841e-01+0.0000000000000000e+00j,7.5398223686155030e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,9.7343627934304011e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,7.3320568445390655e-15-7.1740955424814412e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,7.3320568445390655e-15-7.1740955424814412e-14j,6.3482820522545347e-01+7.7265331802188586e-01j,6.0085483734272802e-14-3.9878043924636005e-14j,2.517820497967382e-24,2.3082849985327782e-25,dtn_port_modal_amplitudes,2.3082849985327782e-25,0.0
190,top,outgoing_up,air,-8,4,-8,4,s,2.5113602037606841e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.2756018463684562e-14-2.9954705382812737e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2756018463684562e-14-2.9954705382812737e-15j,-2.5343079167905125e-01-9.6735352060605506e-01j,3.3508888684606852e-16+1.3098723839729000e-14j,6.070695102641815e-26,5.565485882495203e-27,dtn_port_modal_amplitudes,5.565485882495203e-27,0.0
191,top,outgoing_up,air,-8,4,-8,4,p,2.5113602037606841e-01+0.0000000000000000e+00j,1.0053096491487339e+00+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,7.1092890838143419e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.2577917105827725e-14+6.8976132000715819e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,2.2577917105827725e-14+6.8976132000715819e-15j,-2.5343079167905125e-01-9.6735352060605506e-01j,9.5049100627412791e-16-2.3588895174264139e-14j,1.9706798684231812e-25,1.8066779505783135e-26,dtn_port_modal_amplitudes,1.8066779505783135e-26,0.0
192,top,outgoing_up,air,-7,-4,-7,-4,s,3.7679972651966021e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,6.5307823390268960e-01+0.0000000000000000e+00j,6.5307823390268960e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,8.1826101449159885e-15-4.7357673345964120e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,8.1826101449159885e-15-4.7357673345964120e-16j,-9.9702396850704655e-01-7.7092193005905307e-02j,-8.1947675083691351e-15-1.5864800639740683e-16j,2.1820835651303258e-26,2.0004884236193495e-27,dtn_port_modal_amplitudes,2.0004884236193495e-27,0.0
193,top,outgoing_up,air,-7,-4,-7,-4,p,3.7679972651966021e-01+0.0000000000000000e+00j,-1.0053096491487339e+00+0.0000000000000000e+00j,6.5307823390268960e-01+0.0000000000000000e+00j,6.5307823390268960e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.1099790237904004e-14-1.1377992008382351e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1099790237904004e-14-1.1377992008382351e-16j,-9.9702396850704655e-01-7.7092193005905307e-02j,-1.1075528456150123e-14-7.4226586388717077e-16j,4.002308281859639e-26,3.669232248279117e-27,dtn_port_modal_amplitudes,3.669232248279117e-27,0.0
194,top,outgoing_up,air,-7,-3,-7,-3,s,3.7679972651966021e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,9.3202438635813578e-01+0.0000000000000000e+00j,9.3202438635813578e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.6577854351486828e-16-6.1479710222433481e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,6.6577854351486828e-16-6.1479710222433481e-16j,-2.1027189414345648e-01+9.7764294634254023e-01j,4.6105753499651155e-16+7.8016824809214003e-16j,3.806849404077195e-28,3.4900396506417965e-29,dtn_port_modal_amplitudes,3.4900396506417965e-29,0.0
195,top,outgoing_up,air,-7,-3,-7,-3,p,3.7679972651966021e-01+0.0000000000000000e+00j,-7.5398223686155030e-01+0.0000000000000000e+00j,9.3202438635813578e-01+0.0000000000000000e+00j,9.3202438635813578e-01+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.6249673974634218e-14+1.3193555962345073e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.6249673974634218e-14+1.3193555962345073e-14j,-2.1027189414345648e-01+9.7764294634254023e-01j,-9.4817371979022586e-15-1.8660613144357083e-14j,2.0309176569447058e-25,1.861902691063696e-26,dtn_port_modal_amplitudes,1.861902691063696e-26,0.0
196,top,outgoing_up,air,-7,-2,-7,-2,s,3.7679972651966021e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.1316282072803008e-18+9.8410168902773884e-17j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.1316282072803008e-18+9.8410168902773884e-17j,-9.9358869378523285e-01-1.1305532973794195e-01j,1.3243755780977055e-17-9.7538239245438471e-17j,5.2447014244594674e-30,4.808232211008124e-31,dtn_port_modal_amplitudes,4.808232211008124e-31,0.0
197,top,outgoing_up,air,-7,-2,-7,-2,p,3.7679972651966021e-01+0.0000000000000000e+00j,-5.0265482457436694e-01+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.2958099640633965e-14-1.0100487393652270e-13j,0.0000000000000000e+00+0.0000000000000000e+00j,2.2958099640633965e-14-1.0100487393652270e-13j,-9.9358869378523285e-01-1.1305532973794195e-01j,-3.4230047561761559e-14+9.7761765235503312e-14j,5.807627167526689e-24,5.324310719805307e-25,dtn_port_modal_amplitudes,5.324310719805307e-25,0.0
198,top,outgoing_up,air,-7,-1,-7,-1,s,3.7679972651966021e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,2.5872637367761691e-16+1.6845191908000556e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,2.5872637367761691e-16+1.6845191908000556e-15j,-1.5448652180506943e-02+9.9988066245217766e-01j,-1.6883151381674352e-15+2.3267194683656619e-16j,1.6933254713242195e-27,1.552405259329086e-28,dtn_port_modal_amplitudes,1.552405259329086e-28,0.0
199,top,outgoing_up,air,-7,-1,-7,-1,p,3.7679972651966021e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.2493736138770545e-14+1.9346373795904269e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.2493736138770545e-14+1.9346373795904269e-14j,-1.5448652180506943e-02+9.9988066245217766e-01j,-1.8378621054027968e-14-6.2785153689272478e-14j,2.4950587049952593e-24,2.287417464369928e-25,dtn_port_modal_amplitudes,2.287417464369928e-25,0.0
200,top,outgoing_up,air,-7,0,-7,0,s,3.7679972651966021e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1988155280396591e+00+0.0000000000000000e+00j,1.1988155280396591e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2886131792447629e-04-7.8125288105774618e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2886131792447629e-04-7.8125288105774618e-05j,3.3082936487185755e-01-9.4369059089220730e-01j,-3.1094991330657385e-05-1.4745135269976192e-04j,1.3539938647227204e-05,1.2413131629391336e-06,dtn_port_modal_amplitudes,1.2413131629391336e-06,0.0
201,top,outgoing_up,air,-7,0,-7,0,p,3.7679972651966021e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1988155280396591e+00+0.0000000000000000e+00j,1.1988155280396591e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,9.1191042232152868e-15+8.4970937307015414e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,9.1191042232152868e-15+8.4970937307015414e-15j,3.3082936487185755e-01-9.4369059089220730e-01j,1.1035494861958795e-14-5.7945247306290236e-15j,9.263134926606198e-26,8.49224772287445e-27,dtn_port_modal_amplitudes,8.49224772287445e-27,0.0
202,top,outgoing_up,air,-7,1,-7,1,s,3.7679972651966021e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.6360246490876323e-15-9.5496943686157597e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.6360246490876323e-15-9.5496943686157597e-16j,-1.5448652180506943e-02+9.9988066245217766e-01j,9.8012984891322641e-16-1.6210764192447443e-15j,2.092091300323067e-27,1.9179854036438264e-28,dtn_port_modal_amplitudes,1.9179854036438264e-28,0.0
203,top,outgoing_up,air,-7,1,-7,1,p,3.7679972651966021e-01+0.0000000000000000e+00j,2.5132741228718347e-01+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1.1721745612757659e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.5853690213559061e-14+5.0453649169049542e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.5853690213559061e-14+5.0453649169049542e-14j,-1.5448652180506943e-02+9.9988066245217766e-01j,-5.0048223486587168e-14-2.6630045774816784e-14j,1.8737263203225417e-24,1.717792972155149e-25,dtn_port_modal_amplitudes,1.717792972155149e-25,0.0
204,top,outgoing_up,air,-7,2,-7,2,s,3.7679972651966021e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,9.3669114237386630e-16+2.1324453459274577e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,9.3669114237386630e-16+2.1324453459274577e-15j,-9.9358869378523285e-01-1.1305532973794195e-01j,-6.8960141689947899e-16-2.2246715117921488e-15j,2.9363911136246425e-27,2.6920217556718492e-28,dtn_port_modal_amplitudes,2.6920217556718492e-28,0.0
205,top,outgoing_up,air,-7,2,-7,2,p,3.7679972651966021e-01+0.0000000000000000e+00j,5.0265482457436694e-01+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1.0883458997952438e+00+0.0000000000000000e+00j,1,True,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-2.7926043669414273e-13+3.4002433396916220e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,-2.7926043669414273e-13+3.4002433396916220e-14j,-9.9358869378523285e-01-1.1305532973794195e-01j,2.8131416884040772e-13-2.2125526311434006e-15j,4.283977452166241e-23,3.927460633063808e-24,dtn_port_modal_amplitudes,3.927460633063808e-24,0.0
