case,domain_nm,air_nm,substrate_nm,mesh_target_nm,lambda_over_h_approx,cells,dofs,dtn_aux_modes,elapsed_s,R_port,T_port,A_port,A_volume,closure_port_volume,R_ref_port,T_ref_port,A_ref_port,dR_port,dT_port,dA_port,R_probe,T_probe,A_probe,R_flux,T_flux,A_flux,note
small_cell_h2p7,10x10x10,5,5,2.7,5.0,64,300,4,7.346,3.169296055595e-03,9.894124048098e-01,7.418299134649e-03,7.418299134650e-03,-1.554312234475e-15,1.083948938781e-06,9.915340681455e-01,8.464847905570e-03,3.168212106656e-03,-2.121663335736e-03,-1.046548770921e-03,1.597694367040e-03,8.111270613257e-01,1.872752443073e-01,1.866872461077e-01,8.089586000783e-01,4.354153814017e-03,no full reflection at lambda/5-like mesh; port-volume closes
small_cell_h2,10x10x10,5,5,2.0,6.75,150,636,4,32.809,5.938078681734e-04,9.914679685241e-01,7.938223607677e-03,7.938223607686e-03,-8.548717289614e-15,1.083948938781e-06,9.915340681455e-01,8.464847905570e-03,5.927239192346e-04,-6.609962134219e-05,-5.266242978925e-04,6.922527553134e-03,9.137005218300e-01,7.937695061688e-02,9.168472339486e-02,9.024258871479e-01,5.889389457229e-03,port T already within 6.7e-5 of port-plane analytic reference
small_cell_h1p5,10x10x10,5,5,1.5,9.0,392,1520,4,27.623,1.755002841920e-04,9.916699716327e-01,8.154528083064e-03,8.154528083064e-03,-1.110223024625e-16,1.083948938781e-06,9.915340681455e-01,8.464847905570e-03,1.744163352532e-04,1.359034872520e-04,-3.103198225053e-04,3.703197228445e-03,9.433117895631e-01,5.298501320848e-02,5.356452481133e-02,9.404677990983e-01,5.967676090407e-03,port reflection keeps decreasing; probe/flux improve but remain diagnostic
small_cell_h1,10x10x10,5,5,1.0,13.5,1000,3630,4,19.915,6.615691874563e-05,9.916720433095e-01,8.261799771739e-03,8.261799771741e-03,-2.220446049250e-15,1.083948938781e-06,9.915340681455e-01,8.464847905570e-03,6.507296980685e-05,1.379751640235e-04,-2.030481338304e-04,3.749855145465e-03,9.621839213769e-01,3.406622347762e-02,3.490866161302e-02,9.595488051137e-01,5.542533273310e-03,best small-cell run; port no longer full-reflecting and energy closure is machine precision
