auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2484626161055895e-06-1.1411577862907020e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2484626161055895e-06-1.1411577862907020e-08j,-6.7238056785442846e-01+7.4020562816811675e-01j,-8.3099508860169921e-07+9.3179197820242471e-07j,1.4387167659680492e-09,2.877433531936099e-13,dtn_port_modal_amplitudes,2.877433531936099e-13,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.8078094998003484e-07-1.5809371839781540e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.8078094998003484e-07-1.5809371839781540e-07j,-6.7238056785442846e-01+7.4020562816811675e-01j,2.3857545794092713e-07-2.7515932490259372e-08j,5.32326845736768e-11,1.0646536914735361e-14,dtn_port_modal_amplitudes,1.0646536914735361e-14,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.0740447138653315e-04-1.3147229787756817e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0740447138653315e-04-1.3147229787756817e-04j,2.6849921349019956e-01+9.6327990343157488e-01j,1.5548263849604591e-04+6.8160360249462719e-05j,4.29297631824288e-05,8.585952636485762e-09,dtn_port_modal_amplitudes,8.585952636485762e-09,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-4.7945723647929430e-06+5.4360639831807999e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-4.7945723647929430e-06+5.4360639831807999e-06j,2.6849921349019956e-01+9.6327990343157488e-01j,-6.5237900977350146e-06-3.1589363005869980e-06j,7.825888181237582e-08,1.5651776362475165e-11,dtn_port_modal_amplitudes,1.5651776362475165e-11,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.3473115279675217e-05+1.8473696974147762e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.3473115279675217e-05+1.8473696974147762e-04j,-8.8447955896716002e-01+4.6657894269807987e-01j,-3.0053707010386961e-05-1.9301129253881591e-04j,6.239943295584317e-05,1.2479886591168636e-08,dtn_port_modal_amplitudes,1.2479886591168636e-08,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.5185207803869720e-14+8.2688540703658267e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.5185207803869720e-14+8.2688540703658267e-15j,-8.8447955896716002e-01+4.6657894269807987e-01j,9.5729327117153664e-15-1.4398730603101137e-14j,4.889120599324098e-25,9.778241198648198e-29,dtn_port_modal_amplitudes,9.778241198648198e-29,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.0740447141233119e-04-1.3147229776996699e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,1.0740447141233119e-04-1.3147229776996699e-04j,2.6849921349019956e-01+9.6327990343157488e-01j,1.5548263839932258e-04+6.8160360303204289e-05j,4.292976314853937e-05,8.585952629707875e-09,dtn_port_modal_amplitudes,8.585952629707875e-09,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,4.7945723827529850e-06-5.4360639496895601e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,4.7945723827529850e-06-5.4360639496895601e-06j,2.6849921349019956e-01+9.6327990343157488e-01j,6.5237900702958329e-06+3.1589363268799167e-06j,7.825888152653236e-08,1.5651776305306474e-11,dtn_port_modal_amplitudes,1.5651776305306474e-11,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.2484624224554958e-06-1.1411472797168581e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,1.2484624224554958e-06-1.1411472797168581e-08j,-6.7238056785442846e-01+7.4020562816811675e-01j,-8.3099503616539002e-07+9.3179176421737460e-07j,1.4387163174710075e-09,2.8774326349420153e-13,dtn_port_modal_amplitudes,2.8774326349420153e-13,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.8078094499154099e-07+1.5809372998730339e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.8078094499154099e-07+1.5809372998730339e-07j,-6.7238056785442846e-01+7.4020562816811675e-01j,-2.3857546316536504e-07+2.7515921005201627e-08j,5.3232686291142017e-11,1.0646537258228406e-14,dtn_port_modal_amplitudes,1.0646537258228406e-14,0.0
