auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.6113386554507038e-06+3.8830576873161355e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.6113386554507038e-06+3.8830576873161355e-07j,1.2141964480860372e-01+9.9260126428216511e-01j,-1.8978462975986011e-07+1.6465647351036168e-06j,2.5355793594871907e-09,5.071158718974382e-13,dtn_port_modal_amplitudes,5.071158718974382e-13,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.7742087683259446e-07-1.8324037905450537e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7742087683259446e-07-1.8324037905450537e-07j,1.2141964480860372e-01+9.9260126428216511e-01j,1.6034225207040054e-07-1.9835716839347553e-07j,6.004405028661412e-11,1.2008810057322826e-14,dtn_port_modal_amplitudes,1.2008810057322826e-14,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.3502455080451650e-04-1.1639566079399599e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,1.3502455080451650e-04-1.1639566079399599e-04j,9.9616805777848072e-01-8.7459708791245441e-02j,1.2432721392973954e-04-1.2775884724002958e-04j,4.7337173987242126e-05,9.467434797448427e-09,dtn_port_modal_amplitudes,9.467434797448427e-09,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.0267442287300265e-06+4.7216853425550721e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.0267442287300265e-06+4.7216853425550721e-06j,9.9616805777848072e-01-8.7459708791245441e-02j,-5.5906928679978990e-06+5.2306894123382540e-06j,8.731121987684015e-08,1.746224397536803e-11,dtn_port_modal_amplitudes,1.746224397536803e-11,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.2949886728227806e-04+1.3025575359035312e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.2949886728227806e-04+1.3025575359035312e-04j,4.2311189334505134e-01+9.0607743913529037e-01j,-1.7281431056762875e-04-6.2223243517346564e-05j,5.517107013116872e-05,1.1034214026233745e-08,dtn_port_modal_amplitudes,1.1034214026233745e-08,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.5468974496617406e-14-5.0450993501932449e-15j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5468974496617406e-14-5.0450993501932449e-15j,4.2311189334505134e-01+9.0607743913529037e-01j,1.1116357786776315e-14+1.1881447259770066e-14j,4.329465911123097e-25,8.658931822246196e-29,dtn_port_modal_amplitudes,8.658931822246196e-29,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.3502455083199235e-04-1.1639566079031793e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,1.3502455083199235e-04-1.1639566079031793e-04j,9.9616805777848072e-01-8.7459708791245441e-02j,1.2432721395743177e-04-1.2775884723876865e-04j,4.733717399701894e-05,9.467434799403789e-09,dtn_port_modal_amplitudes,9.467434799403789e-09,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.0267442341060498e-06-4.7216853298621691e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,6.0267442341060498e-06-4.7216853298621691e-06j,9.9616805777848072e-01-8.7459708791245441e-02j,5.5906928744634396e-06-5.2306894001641747e-06j,8.731121979481982e-08,1.7462243958963967e-11,dtn_port_modal_amplitudes,1.7462243958963967e-11,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.6113386298756508e-06+3.8830576680408018e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.6113386298756508e-06+3.8830576680408018e-07j,1.2141964480860372e-01+9.9260126428216511e-01j,-1.8978463095190186e-07+1.6465647094837467e-06j,2.5355792820341754e-09,5.071158564068351e-13,dtn_port_modal_amplitudes,5.071158564068351e-13,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.7742082033882829e-07+1.8324039846749080e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.7742082033882829e-07+1.8324039846749080e-07j,1.2141964480860372e-01+9.9260126428216511e-01j,-1.6034227819920746e-07+1.9835711467480957e-07j,6.004403835088758e-11,1.200880767017752e-14,dtn_port_modal_amplitudes,1.200880767017752e-14,0.0
