case_id,case_role,grazing_deg,incident_polarization,side,physical_port,m,n,channel_polarization,co_or_cross_polarization,analyzer_comparison_significance,reference_propagating,hybrid_propagating,reference_power_carrying,hybrid_power_carrying,reference_beta_real_per_nm,reference_beta_imag_per_nm,reference_rayleigh_warning,full3d_amplitude_real,full3d_amplitude_imag,full3d_amplitude_magnitude,full3d_amplitude_phase_rad,hybrid_m120_amplitude_real,hybrid_m120_amplitude_imag,hybrid_m120_amplitude_magnitude,hybrid_m120_amplitude_phase_rad,complex_amplitude_absolute_error,complex_amplitude_relative_error,complex_amplitude_pass,full3d_power_ratio,hybrid_m120_power_ratio,power_absolute_error,power_relative_error,power_pass,channel_pass
D005-S,historical_success_control,10,s,top,R,-7,0,s,co,significant,true,true,true,,0.19780507480427703,0,false,-0.00050520911137013464,-2.6088861941163394e-05,0.00050588227378391723,-3.0899987525063022,-0.00050520911120980412,-2.6088861977858433e-05,0.00050588227362569245,-3.0899987524175176,1.6447613914201878e-13,3.2512730266621912e-10,true,6.2635424255751145e-07,6.2635424216570196e-07,3.9180948931257994e-16,6.2553977077373151e-10,true,true
D005-S,historical_success_control,10,s,top,R,-7,0,p,cross,weak,true,true,true,,0.19780507480427703,0,false,-2.0128258818367193e-14,2.6987120982544005e-14,3.366677148147181e-14,2.2116341080135018,1.5911626460922556e-14,-4.3391485709206132e-14,4.6216889647445669e-14,-1.2193227869774299,7.9069726259905721e-14,1.7108404927953818,true,2.7741123253378539e-27,5.2278429044831083e-27,2.4537305791452543e-27,0.4693581318293002,true,true
D005-S,historical_success_control,10,s,top,R,-6,-1,s,co,weak,true,true,true,,0.2570080657449077,0,false,-1.3100808465689656e-14,-1.048126550750182e-14,1.6777607370940384e-14,-2.4668229140047799,2.5987022879147842e-14,2.1975289621704133e-14,3.4032906312554777e-14,0.70194896211504021,5.0806363086700533e-14,1.4928599579506969,true,8.9513899533621148e-28,3.6832271190037549e-27,2.7880881236675435e-27,0.75696883020932737,true,true
D005-S,historical_success_control,10,s,top,R,-6,-1,p,cross,weak,true,true,true,,0.2570080657449077,0,false,-4.406594326470181e-14,-5.7616497405315728e-14,7.25359781699032e-14,-2.2237116086985216,5.1800439298324495e-14,6.9079305841441614e-14,8.6343708555023451e-14,0.9273789770424834,1.5887790867852448e-13,1.8400635244579266,true,1.6731595910792672e-26,2.3707830823917367e-26,6.9762349131246946e-27,0.29425867617069384,true,true
D005-S,historical_success_control,10,s,top,R,-6,0,s,co,weak,true,true,true,,0.35946990698097481,0,false,-9.0210691628107432e-06,2.9123846090639759e-05,3.0488983255456185e-05,1.8711725783364623,-9.021069176230647e-06,2.9123846134024244e-05,3.0488983300868816e-05,1.8711725783358866,4.5412634771772598e-14,1.4894768488550589e-09,true,4.1345866019393746e-09,4.1345866142561163e-09,1.2316741654791121e-17,2.9789535941326787e-09,true,true
D005-S,historical_success_control,10,s,top,R,-6,0,p,cross,weak,true,true,true,,0.35946990698097481,0,false,1.3773799686263109e-14,-4.2451865180385539e-16,1.3780340122182438e-14,-0.030810983080614349,9.7412152165622864e-15,-3.0097807775473875e-14,3.1634938071454485e-14,-1.2577841443093769,2.9946048569422078e-14,0.94661315605493912,true,8.4462918357894635e-28,4.451231550829744e-27,3.6066023672507978e-27,0.81024820346146653,true,true
D005-S,historical_success_control,10,s,top,R,-6,1,s,co,weak,true,true,true,,0.2570080657449077,0,false,1.6987316782561367e-14,4.1219307855103731e-14,4.4582510825714013e-14,1.1798852099955219,-2.9874809172773553e-14,7.5984715490143298e-14,8.1646685243356075e-14,1.9453997855664458,5.8349742219517493e-14,0.71466149600072892,true,6.3206169380044097e-27,2.119861748819663e-26,1.4878000550192221e-26,0.70183824763460534,true,true
D005-S,historical_success_control,10,s,top,R,-6,1,p,cross,weak,true,true,true,,0.2570080657449077,0,false,-1.6619836036285453e-14,1.6351249309519724e-14,2.3314851572658186e-14,2.3643404393808094,3.3886617960900928e-14,7.8421356267533521e-14,8.5429573308471299e-14,1.1629192603863847,8.0022497293880911e-14,0.93670721033492255,true,1.7286048740121813e-27,2.320849066979247e-26,2.1479885795780289e-26,0.92551842777686166,true,true
D005-S,historical_success_control,10,s,top,R,-5,-1,s,co,weak,true,true,true,,0.35293367391202257,0,false,3.1757247383545925e-14,-2.8510232158189879e-14,4.2677348782388288e-14,-0.73157346384978972,-1.4339829915978656e-14,-6.9081897269043284e-14,7.0554512628958366e-14,-1.7754669696486742,6.1408472912339899e-14,0.87036917447482209,true,7.9537444190647523e-27,2.1738339123363097e-26,1.3784594704298345e-26,0.63411443836955639,true,true
D005-S,historical_success_control,10,s,top,R,-5,-1,p,cross,weak,true,true,true,,0.35293367391202257,0,false,1.1428647117183816e-14,-2.4747273954772096e-14,2.7258788364886201e-14,-1.1381611059862142,-5.1060850614683785e-14,1.5055490619288942e-14,5.3234183221709624e-14,2.8548637187256847,7.4089117922399473e-14,1.3917583296776295,true,3.2448144158510068e-27,1.2375363297769886e-26,9.1305488819188794e-27,0.73780047197194276,true,true
D005-S,historical_success_control,10,s,top,R,-5,0,s,co,significant,true,true,true,,0.43327548551471246,0,false,-9.8178079223026747e-05,-6.5355032511482005e-05,0.00011794157670007547,-2.5542745056935132,-9.8178079206546399e-05,-6.5355032524936927e-05,0.00011794157669381252,-2.5542745055211182,2.1275261954937431e-14,1.8038814258893841e-10,true,7.4573005443752826e-08,7.4573005435832829e-08,7.9199962848441234e-18,1.0620460095064604e-10,true,true
D005-S,historical_success_control,10,s,top,R,-5,0,p,cross,weak,true,true,true,,0.43327548551471246,0,false,2.8895525038818671e-14,3.6542230675249725e-15,2.9125671039415184e-14,0.12579550872168413,3.3683316311638583e-14,7.8722060019842622e-16,3.3692514213446205e-14,0.023366978163310008,5.5805598661556364e-15,0.16563204012624602,true,4.5477823080148209e-27,6.0857572931695287e-27,1.5379749851547078e-27,0.25271710833438671,true,true
D005-S,historical_success_control,10,s,top,R,-5,1,s,co,weak,true,true,true,,0.35293367391202257,0,false,-4.821891910844589e-14,1.5332868178467427e-14,5.0598033623502673e-14,2.8337190742901681,6.3642253778775119e-15,-3.2828634761628288e-14,3.3439835899310411e-14,-1.3793095788301717,7.2793200420531755e-14,1.4386567067444194,true,1.1180057720732269e-26,4.8832059623461159e-27,6.2968517583861526e-27,0.56322175749676928,true,true
D005-S,historical_success_control,10,s,top,R,-5,1,p,cross,weak,true,true,true,,0.35293367391202257,0,false,-3.0145710740837583e-14,-1.0379766311833737e-14,3.1882650842715841e-14,-2.8099870447088087,-1.6317195730225496e-14,-6.0076794284605885e-14,6.225328977663223e-14,-1.8360040910904429,5.1585098785649538e-14,0.82863249429450769,true,4.4390047864098566e-27,1.6923936239935128e-26,1.2484931453525271e-26,0.73770849030172947,true,true
D005-S,historical_success_control,10,s,top,R,-4,-1,s,co,weak,true,true,true,,0.38921520579321023,0,false,9.9998621076272574e-15,-1.2045212267468105e-14,1.5655171054316959e-14,-0.8779136762398676,-7.7831666185219749e-16,3.0065977793372764e-14,3.0076050231001092e-14,1.5966775031237461,4.3468626225441267e-14,1.445290385259288,true,1.1802910215973542e-27,4.3562728350143836e-27,3.1759818134170294e-27,0.72905943537086626,true,true
D005-S,historical_success_control,10,s,top,R,-4,-1,p,cross,weak,true,true,true,,0.38921520579321023,0,false,-2.4159989074183675e-14,-1.8736044443901293e-14,3.057359045759132e-14,-2.4819709829030168,7.2894872320031188e-15,-6.9082934244046159e-14,6.9466455414629741e-14,-1.4656674288118594,5.936226808740832e-14,0.85454580535437163,true,4.5015943446912572e-27,2.3239337725835308e-26,1.873774338114405e-26,0.80629420692626674,true,true
