case,p,h_nm,profile,status,reason,iterations,true_relative_residual_norm,ksp_final_residual,rss_upper_gb,setup_time_s,solve_time_s,includes_floquet_mpc,includes_dtn_aux,fe_real_dofs,aux_real_dofs,total_real_dofs,B_rows,B_nnz,G_rows,G_cols,G_nnz,H1_dofs,ams_setup_rss_before_gb,ams_setup_rss_after_gb,notes
task014a_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_jacobi,completed,CONVERGED_RTOL,39,8.817345890110889e-07,8.334814795562116e-06,0.25905609130859375,3.274499613326043e-05,0.0006537680019391701,True,True,288,8,296,144,4574,144,64,1800,64,,,aux block uses identity; diagnostic residual only; no R/T/A
task014a_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,completed,CONVERGED_RTOL,37,9.601334814717081e-07,9.075899755809726e-06,0.26100921630859375,0.006763206998584792,0.008030037002754398,True,True,288,8,296,144,4574,144,64,1800,64,0.25905609130859375,0.26064300537109375,aux block uses identity; diagnostic residual only; no R/T/A
task014a_default100_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_jacobi,not_converged,DIVERGED_MAX_IT,1000,0.03436220600931187,3.1985793765923987,0.6829338073730469,0.0024684620002517477,8.323913828993682,True,True,78540,1416,79956,39270,1307032,39270,13671,667340,13671,,,aux block uses identity; diagnostic residual only; no R/T/A
task014a_default100_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,not_converged,DIVERGED_MAX_IT,1000,0.021465559540488233,1.9981050120768078,0.7863235473632812,0.8048709199938457,159.17044244099816,True,True,78540,1416,79956,39270,1307032,39270,13671,667340,13671,0.6829338073730469,0.7178421020507812,aux block uses identity; diagnostic residual only; no R/T/A
task014a_default100_zero_order_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_jacobi,not_converged,DIVERGED_MAX_IT,1000,0.43967935738871533,40.92721301059178,0.4696197509765625,0.00344671901257243,5.22123217000626,True,False,78540,0,78540,39270,1307032,39270,13671,667340,13671,,,zero_order local Robin branch has no aux block; diagnostic residual only; no R/T/A
task014a_default100_zero_order_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,not_converged,DIVERGED_MAX_IT,1000,0.5337074114505601,49.679741717911384,0.737396240234375,0.7988438939937623,158.17169808599283,True,False,78540,0,78540,39270,1307032,39270,13671,667340,13671,0.4696197509765625,0.6703987121582031,zero_order local Robin branch has no aux block; diagnostic residual only; no R/T/A
