profile,mode_count,mesh_elements,local_fe_dofs_sum,local_rows_sum,assembled_nnz_sum,factor_nnz_sum,peak_memory_gib,wall_time_seconds,true_relative_residual,R_total,T_total,A_balance,A_volume,R_delta_full3d,T_delta_full3d,A_delta_full3d,A_volume_delta_full3d,max_middle_E_relative_l2,max_middle_H_relative_l2,max_interface_E_relative_l2,max_interface_H_relative_l2,all_reported_physical_gates_pass,failed_gate_names
conservative,80,3978,43868.0,43948.0,4691224.0,30180816.0,3.0677337646484375,49.91964973899303,1.711001329831234e-11,0.0049623350139132326,0.566668087088293,0.42836957789779384,0.42836957870919923,0.0003493036064391025,-0.016985270090824067,0.016635966484385034,0.016635967295706322,0.30612850115537443,0.3153991205062322,1.6560440786314331e-06,0.0004544062237687269,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
conservative,120,3978,43868.0,43948.0,4691224.0,31518992.0,3.4896202087402344,85.64890329699847,9.910323561073062e-12,0.004962335013220009,0.5666680870791428,0.4283695779076372,0.4283695779163564,0.00034930360574587926,-0.016985270099974192,0.016635966494228382,0.016635966502863475,0.3061285011494123,0.31539912050059005,8.00379476250833e-08,0.0004544063212835413,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
conservative,160,3978,43868.0,43948.0,4691224.0,30149200.0,3.9635391235351562,112.11475032198359,1.0404525339869203e-11,0.004962335013222067,0.5666680870790283,0.42836957790774965,0.4283695779108526,0.00034930360574793665,-0.016985270100088767,0.016635966494340848,0.01663596649735971,0.3061285011493694,0.31539912050057495,2.5374523688115925e-08,0.00045440631227451953,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
balanced,80,1885,21584.0,21664.0,2316336.0,11893408.0,2.496471405029297,38.595567595999455,6.431281011985669e-12,0.03913081638664308,0.3940429270774301,0.5668262565359268,0.5668262569245232,0.03451778497916895,-0.18961043010168693,0.15509264512251797,0.15509264551103025,1.6729213021526133,1.6720077385306105,1.2031342563334082e-06,0.007174335122903336,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
balanced,120,1885,21584.0,21664.0,2316336.0,11552464.0,2.8023681640625,69.99942787300097,6.148967229070594e-12,0.03913081638508096,0.39404292707235694,0.5668262565425621,0.5668262565527661,0.03451778497760683,-0.1896104301067601,0.15509264512915333,0.15509264513927318,1.67292130214674,1.6720077385318517,9.436215605120477e-08,0.00717433502759047,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
balanced,160,1885,21584.0,21664.0,2316336.0,11556688.0,3.291961669921875,96.6334681660228,5.98708304944917e-12,0.03913081638508116,0.3940429270722756,0.5668262565426432,0.5668262565434793,0.03451778497760703,-0.18961043010684142,0.15509264512923437,0.15509264512998638,1.6729213021467466,1.672007738531887,1.3352994389474954e-08,0.007174334843094947,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;volume_absorption_full3d_abs_delta_le_1e-5
aggressive,80,600,7140.0,7220.0,776040.0,3227760.0,2.1208152770996094,29.35779083101079,1.6577413364728086e-12,0.9614037265195267,0.021708179046530322,0.01688809443394302,0.01688809494945653,0.9567906951120525,-0.5619451781325867,-0.3948455169794658,-0.3948455164640364,1.0785014534825854,1.0784339565513372,7.054248918542961e-06,0.12611189703243741,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;sampled_interface_h_t_relative_l2_le_1e-2;volume_absorption_full3d_abs_delta_le_1e-5
aggressive,120,600,7140.0,7220.0,776040.0,3063304.0,2.4814453125,49.38110163601232,1.0834194074046057e-12,0.9614037264975935,0.02170817904504983,0.016888094457356635,0.016888094461577192,0.9567906950901194,-0.5619451781340672,-0.3948455169560522,-0.3948455169519157,1.0785014534826165,1.0784339565513341,6.240320088178254e-07,0.12611189531712236,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;sampled_interface_h_t_relative_l2_le_1e-2;volume_absorption_full3d_abs_delta_le_1e-5
aggressive,160,600,7140.0,7220.0,776040.0,3082072.0,2.5366134643554688,71.91697877302067,1.3618312686135368e-12,0.9614037264975537,0.021708179045038436,0.016888094457407885,0.01688809445927066,0.9567906950900795,-0.5619451781340786,-0.3948455169560009,-0.39484551695422226,1.0785014534826294,1.0784339565513459,4.3710443564691735e-07,0.1261118867506305,False,middle_plane_e_relative_l2_le_5e-3;middle_plane_h_relative_l2_le_5e-3;sampled_interface_h_t_relative_l2_le_1e-2;volume_absorption_full3d_abs_delta_le_1e-5
