scenario_key,degree,h_nm,wavelength_nm,budget_gib,classification,largest_component,largest_component_gib,largest_component_lower_bound_ratio,cumulative_component_envelope_gib,cumulative_component_envelope_ratio,measured_simultaneous_peak_gib,predicted_simultaneous_peak_gib,simultaneous_peak_ratio,simultaneous_peak_model_status,predicted_local_fe_dofs_sum_uniform,predicted_cross_section_qep_dofs,predicted_modes_per_direction,one_complex_2m_square_gib,local_component_subtotal_gib,modal_and_runtime_component_subtotal_gib,cumulative_envelope_compression_ratio,local_subtotal_to_half_budget_ratio,modal_subtotal_to_half_budget_ratio
p3_h3_finer_discrete_stress_test,3,3.0,13.5,1024.0,cumulative_envelope_within_guardband_peak_unknown,local_3d_factorization,7.277352154254913,0.007106789213139564,14.271553039550781,0.01393706351518631,14.271553039550781,,0.01393706351518631,measured_at_reference,223770,4537,160,0.00152587890625,8.468747779726982,5.802805259823799,1.0,1.0,1.0
p3_h3_finer_discrete_stress_test,3,3.0,13.5,2048.0,cumulative_envelope_within_guardband_peak_unknown,local_3d_factorization,7.277352154254913,0.003553394606569782,14.271553039550781,0.006968531757593155,14.271553039550781,,0.006968531757593155,measured_at_reference,223770,4537,160,0.00152587890625,8.468747779726982,5.802805259823799,1.0,1.0,1.0
p3_h3_finer_discrete_stress_test,3,3.0,5.0,256.0,infeasible_current_layout_by_single_component,local_3d_factorization,386.74833062093865,1.5107356664880416,750.1649975242152,2.9303320215789657,,,,unknown_no_lifecycle_overlap_model,4404465,33075,1167,0.08117491006851196,410.1985707171054,339.9664268071098,2.9303320215789657,3.204676333727386,2.6559877094305455
p3_h3_finer_discrete_stress_test,3,3.0,5.0,1024.0,cumulative_envelope_high_risk_peak_unknown,local_3d_factorization,386.74833062093865,0.3776839166220104,750.1649975242152,0.7325830053947414,,,,unknown_no_lifecycle_overlap_model,4404465,33075,1167,0.08117491006851196,410.1985707171054,339.9664268071098,1.0,1.0,1.0
p3_h3_finer_discrete_stress_test,3,3.0,5.0,2048.0,cumulative_envelope_within_guardband_peak_unknown,local_3d_factorization,386.74833062093865,0.1888419583110052,750.1649975242152,0.3662915026973707,,,,unknown_no_lifecycle_overlap_model,4404465,33075,1167,0.08117491006851196,410.1985707171054,339.9664268071098,1.0,1.0,1.0
p3_h3_finer_discrete_stress_test,3,3.0,2.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,30007.589057086443,117.21714475424392,46629.111834731775,182.144968104421,,,,unknown_no_lifecycle_overlap_model,68819765,206718,7290,3.167635202407837,15473.766666383017,31155.34516834876,182.144968104421,120.88880208111732,243.40113412772467
p3_h3_finer_discrete_stress_test,3,3.0,2.0,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,30007.589057086443,29.30428618856098,46629.111834731775,45.53624202610525,,,,unknown_no_lifecycle_overlap_model,68819765,206718,7290,3.167635202407837,15473.766666383017,31155.34516834876,45.53624202610525,30.22220052027933,60.85028353193117
p3_h3_finer_discrete_stress_test,3,3.0,2.0,2048.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,30007.589057086443,14.65214309428049,46629.111834731775,22.768121013052625,,,,unknown_no_lifecycle_overlap_model,68819765,206718,7290,3.167635202407837,15473.766666383017,31155.34516834876,22.768121013052625,15.111100260139665,30.425141765965584
p3_h3_finer_discrete_stress_test,3,3.0,1.0,256.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,960242.8498267662,3750.9486321358054,1223162.8978096705,4777.9800695690255,,,,unknown_no_lifecycle_overlap_model,550558114,826869,29160,50.68216323852539,244648.98665010743,978513.9111595631,4777.9800695690255,1911.3202082039643,7644.639930934087
p3_h3_finer_discrete_stress_test,3,3.0,1.0,1024.0,infeasible_current_layout_by_single_component,hybrid_schur_dense_multi_rhs,960242.8498267662,937.7371580339513,1223162.8978096705,1194.4950173922564,,,,unknown_no_lifecycle_overlap_model,550558114,826869,29160,50.68216323852539,244648.98665010743,978513.9111595631,1194.4950173922564,477.83005205099107,1911.1599827335217
