case,set_name,lift_type,modal_dim,real_coarse_dim,fe_norm,aux_norm,fe_aux_norm_ratio,az_norm,zt_r_norm,coarse_condition,regularization,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,aux_only,1,2,0.0,1.4142135623730951,0.0,6.832073006688178,2.8242013555107658e-08,1.0,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift,1,2,1.411452575482675,0.0883268201812122,15.979886659419241,0.7079430923434833,1.0019325322232963e-07,1.0000000000000004,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip,1,2,1.411452575482675,0.0883268201812122,15.979886659419241,1.0150585715011806,1.0077422885092504e-07,1.0000000000000004,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,1,2,1.4077854044752427,0.1346857637112279,10.452369765624194,0.7898919054075074,1.7891500687782043e-07,1.0000000000000002,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip,1,2,1.4077854044752427,0.1346857637112279,10.452369765624194,0.9378652739947511,1.7777800879164268e-07,1.0000000000000002,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip,1,2,1.4077854044752427,0.1346857637112279,10.452369765624194,0.9378652739947511,1.7777800879164268e-07,1.0000000000000002,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=-1"
task014a_tiny10_stage4_block_grating_p1_h5,top_y,exact_lift_tiny10,1,2,1.4125544557179759,0.06848291488607199,20.626377514273422,0.12152331634563986,4.5216166407536285e-07,1.0000000000000024,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,aux_only,2,4,0.0,2.0,0.0,9.63784492808112,4.0175180142850325e-08,1.0,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,2,4,1.9973068004594843,0.10375714355309983,19.249824465698808,1.0108773150095274,4.504408331189247e-07,3.9502302466797814,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip,2,4,1.9973068004594843,0.10375714355309983,19.249824465698808,1.1715490902612202,4.526955998238092e-07,5.861527645601211,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift,2,4,1.9890029712073802,0.20944493435796632,9.496543696816927,1.3748408447277065,3.731638034422932e-07,1.4988605036187657,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_sign_flip,2,4,1.9890029712073802,0.20944493435796632,9.496543696816927,1.2107456809423964,3.7132567680275426e-07,1.1764491007826912,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_aux_sign_flip,2,4,1.9890029712073802,0.20944493435796632,9.496543696816927,1.2107456809423964,3.7132567680275426e-07,1.1764491007826912,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=-1; mode=3, aux_scale=-1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,exact_lift_tiny10,2,4,1.9976688430099037,0.09653597084752455,20.693517923646898,0.1796578515857164,5.978869843101618e-07,1.8759371592157692,0.0,"unit-column-normalized; direct dense coarse solve; mode=1, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,aux_only,4,8,0.0,2.8284271247461903,0.0,13.629971009341068,2.346380519133226e-06,1.0,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift,4,8,2.8246183654298154,0.14673475960588592,19.249824465698804,1.429596408781773,5.993763101080834e-07,3.9502302466797854,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift_sign_flip,4,8,2.8246183654298154,0.14673475960588592,19.249824465698804,1.656820612433279,5.400550942650514e-07,5.861527645601222,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift,4,8,2.8128807994652556,0.2961445728013671,9.498336480918521,1.9440787303749716,5.70566882978548e-07,1.4996900528996182,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_sign_flip,4,8,2.8128807994652556,0.2961445728013671,9.498336480918521,1.7123903719995885,4.064029920199622e-07,1.1772963484577414,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_aux_sign_flip,4,8,2.8128807994652556,0.2961445728013671,9.498336480918521,1.7123903719995885,4.064029920199622e-07,1.1772963484577414,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=-1; mode=1, aux_scale=-1; mode=2, aux_scale=-1; mode=3, aux_scale=-1"
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_xy,exact_lift_tiny10,4,8,2.825130370914775,0.13652247922942298,20.69351792364689,0.2540745702993327,6.3902572233382e-07,1.875937159215775,0.0,"unit-column-normalized; direct dense coarse solve; mode=0, aux_scale=1; mode=1, aux_scale=1; mode=2, aux_scale=1; mode=3, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_balanced,1,2,1.0000000000000164,1.0000000000000178,0.9999999999999987,46.72202915251464,1.441667048387504,1.0000000000000167,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_balanced_sign_flip,1,2,1.0000000000000164,1.0000000000000178,0.9999999999999987,46.38688777071653,1.381472967244195,1.0000000000000162,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_balanced,2,4,1.4142135623731142,1.4142135623731191,0.9999999999999966,64.68913137822622,1.4416670483875074,1.0453192445307669,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_balanced_sign_flip,2,4,1.4142135623731142,1.4142135623731191,0.9999999999999966,64.2161018787382,1.3814729672441983,1.043649171858389,0.0,"unit-column-normalized; direct dense coarse solve; mode=177, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_balanced,4,8,2.0000000000000124,2.0000000000000324,0.99999999999999,91.4842443777959,1.4416670485012109,1.0453428928293622,0.0,"unit-column-normalized; direct dense coarse solve; mode=176, aux_scale=1; mode=177, aux_scale=1; mode=530, aux_scale=1; mode=531, aux_scale=1"
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,pfe_lift_balanced_sign_flip,4,8,2.0000000000000124,2.0000000000000324,0.99999999999999,90.81528472580666,1.381472967377951,1.0436712009439135,0.0,"unit-column-normalized; direct dense coarse solve; mode=176, aux_scale=1; mode=177, aux_scale=1; mode=530, aux_scale=1; mode=531, aux_scale=1"
