case,set_name,lift_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,coarse_condition,regularization,notes
task014a_default100_stage4_block_grating_p1_h5,top_y,aux_only,0.021465559540488233,0.9985762635124961,0.02149616441410598,0.9999999999994725,1.0275614763947207e-06,1.0,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,aux_only_minres,0.021465559540488233,0.021465185368519293,1.0000174315740822,0.042904173942379394,0.9990791919854612,1.000000000000001,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift,0.021465559540488233,0.021491874981343324,0.9987755632824993,0.06939338857484727,0.9975893732503871,1.000000000000025,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift_minres,0.021465559540488233,0.02146459669431892,1.0000448574078993,0.047253893422890235,0.9988829108340871,1.0000000000000246,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip,0.021465559540488233,0.021507820992725947,0.99803506583712,0.08266796673443494,0.9965771456721222,1.0000000000000244,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,diag_lift_sign_flip_minres,0.021465559540488233,0.02146465383621003,1.0000421951495289,0.04737715645529992,0.9988770720395028,1.0000000000000244,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift,0.021465559540488233,0.021479824777182743,0.9993358774178799,0.04755684271856051,0.9988685332468142,1.0000000000000282,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_minres,0.021465559540488233,0.021464749181345742,1.0000377530217401,0.04484156968700342,0.9989941109075697,1.0000000000000289,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip,0.021465559540488233,0.0214682856522056,0.9998730167950283,0.03553885685774832,0.9993682953012091,1.0000000000000282,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_sign_flip_minres,0.021465559540488233,0.021465549158153057,1.0000004836743333,0.04370741327269905,0.9990443744023636,1.0000000000000284,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip,0.021465559540488233,0.0214682856522056,0.9998730167950283,0.03553885685774832,0.9993682953012091,1.0000000000000282,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_y,pfe_lift_aux_sign_flip_minres,0.021465559540488233,0.021465549158153057,1.0000004836743333,0.04370741327269905,0.9990443744023636,1.0000000000000284,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,aux_only,0.021465559540488233,0.9985762635124961,0.02149616441410598,0.9999999999994725,1.0275614759894548e-06,1.0,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,aux_only_minres,0.021465559540488233,0.021465185368519237,1.0000174315740848,0.04290417394231862,0.9990791919854639,1.0908530179644778,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,0.021465559540488233,0.021491874981344132,0.9987755632824618,0.06939338857538768,0.9975893732503497,1.0012858004536185,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_minres,0.021465559540488233,0.021464596694317942,1.000044857407945,0.047253893421926735,0.9988829108341326,1.0019731773582587,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip,0.021465559540488233,0.021507820992727248,0.9980350658370597,0.08266796673515936,0.996577145672062,1.008844762239019,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,diag_lift_sign_flip_minres,0.021465559540488233,0.02146465383620892,1.0000421951495806,0.04737715645420839,0.9988770720395547,1.003591654427955,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift,0.021465559540488233,0.021479824777182844,0.9993358774178752,0.04755684271865955,0.9988685332468096,1.0015513283491173,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_minres,0.021465559540488233,0.02146474918134554,1.0000377530217495,0.044841569686793335,0.9989941109075792,1.0029611723040897,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_sign_flip,0.021465559540488233,0.021468285652205328,0.9998730167950408,0.03553885685738994,0.9993682953012217,1.0005182204312284,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_sign_flip_minres,0.021465559540488233,0.021465549158152228,1.0000004836743719,0.04370741327181103,0.9990443744024025,1.0007922459467447,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_aux_sign_flip,0.021465559540488233,0.021468285652205328,0.9998730167950408,0.03553885685738994,0.9993682953012217,1.0005182204312284,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_y,pfe_lift_aux_sign_flip_minres,0.021465559540488233,0.021465549158152228,1.0000004836743719,0.04370741327181103,0.9990443744024025,1.0007922459467447,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,aux_only,0.021465559540488233,0.9985762635124739,0.021496164414106456,0.9999999999994724,1.027520647962519e-06,1.0,0.0,galerkin; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,aux_only_minres,0.021465559540488233,0.021465185366607412,1.0000174316631527,0.042904171871879,0.9990791920743762,1.0908530179644778,0.0,minres; direct dense coarse solve
task014a_default100_stage4_block_grating_p1_h5,top_bottom_xy,diag_lift,0.021465559540488233,0.021491874990556575,0.9987755628543389,0.0693933947176199,0.9975893728230893,1.0012858004536207,0.0,galerkin; direct dense coarse solve
