configuration,mpi_ranks,openblas_threads_per_rank,cpu_affinity,full_solve_numeric_gate,worker_rss_mb,cgroup_current_mb,ksp_setup_seconds,ksp_solve_seconds,stage4_seconds,ksp_cpu_cores_max,ksp_cpu_cores_mean,ksp_process_threads_max,factor_nnz,swap_in_pages,swap_out_pages,disposition,artifact
MPI4x1,4,1,0-3,pass,2351.70703125,1813.46484375,2.3852727689991298,0.07033997799953795,18.310507861002407,4.061085639543932,3.9055546345872276,12,34317396,0,0,fixed_four_core_reference,benchmarks/artifacts/cases/050/h5_default_mpi4_t1_cpu0-3_20260713T100159Z
MPI2x2,2,2,0-3,pass,1677.0625,1391.3203125,1.9529421469997033,0.06316042199978256,20.687306968000485,4.024566909807217,3.27190370393703,12,33940948,0,0,negative_time_vs_mpi4,benchmarks/artifacts/cases/050/h5_default_mpi2_t2_cpu0-3_20260713T100245Z
MPI1x4,1,4,0-3,pass,1399.6484375,1272.4765625,23.840756644000066,0.14011276200108114,48.27260564799872,1.0543361515707441,0.9991616000269552,12,44628034,0,0,unavailable_ksp_setup_remains_single_core,benchmarks/artifacts/cases/050/h5_default_mpi1_t4_cpu0-3_20260713T100333Z
MPI1x1,1,1,0-3,pass,1401.98828125,1269.8125,25.57775890799894,0.11118558399903122,50.891330800001015,1.0599751505482975,0.998745656443112,3,44628034,0,0,single_rank_control,benchmarks/artifacts/cases/050/h5_default_mpi1_t1_cpu0-3_20260713T100450Z
