run_id,h_nm,mpi_size,threads_per_rank,profile,solver,ordering,ksp_setup_seconds,ksp_solve_seconds,augmented_nnz,factor_nnz,derived_factor_to_augmented_nnz_ratio,augmented_estimated_storage_mb,factor_estimated_storage_mb,derived_estimated_storage_ratio,petsc_fill_ratio_given_raw,petsc_fill_ratio_needed_raw,petsc_factor_memory_mb_raw,max_simultaneous_worker_rss_mb,max_container_cgroup_current_mb,container_cgroup_peak_mb,sum_rank_historical_peaks_mb_upper_bound,peak_stage,swap_in_delta_pages,swap_out_delta_pages,true_residual,R_total,T_total,A_volume_total,energy_closure_error,status,source_artifact
h5_default_mpi4_20260713T050814Z,5.0,4,1,default,mumps,backend_default_not_reported,1.8376552690006065,0.046669377000398526,4896156,33862428,6.9161252215002955,112.40575408935547,775.3911056518555,6.898144244781887,0.0,0.0,0.0,2328.14453125,1729.03515625,1757.53515625,2373.37109375,during_ksp_setup_peak,0,0,5.224671064148491e-12,0.08902160293644126,0.44258827865712486,0.46839011840655576,1.219024881038422e-13,pass,benchmarks/artifacts/cases/050/h5_default_mpi4_20260713T050814Z
h3_default_mpi4_20260713T075023Z,3.0,4,1,default,mumps,backend_default_not_reported,31.200131237001187,1.6025402609993762,21317860,266127836,12.483796966487255,489.4416732788086,6092.69734954834,12.44826029776516,0.0,0.0,0.0,8651.09765625,8353.7265625,8353.734375,8648.61328125,during_ksp_setup_peak,0,0,1.3821009358870955e-11,0.004613031407444258,0.5836533571790966,0.41173361141353215,7.30526750203353e-14,pass,benchmarks/artifacts/cases/050/h3_default_mpi4_20260713T075023Z
