run_id,h_nm,mpi_size,threads_per_rank,total_threads,solver_package,solver_profile,petsc_options,source_sha,same_executable_code_as_mpi4_baseline,max_simultaneous_worker_rss_mb,max_container_cgroup_current_mb,sum_rank_historical_peaks_mb_upper_bound,worker_rss_reduction_vs_mpi4_fraction,cgroup_reduction_vs_mpi4_fraction,ksp_setup_seconds,ksp_solve_seconds,stage4_seconds,worker_to_cleanup_seconds,true_residual,max_task28_rta_abs_delta,swap_in_delta_pages,swap_out_delta_pages,status,interpretation,source_artifact
h5_default_mpi1_petsc_20260713T075248Z,5.0,1,1,1,petsc,default,{},fba69d88ea8590ea01537b7561edff1684f25135,true,1400.921875,1273.875,1400.74609375,0.39826679306381663,0.26324517150777282,23.315130918999785,0.09757568200075184,47.80210209299912,55.01768671500031,2.7643987816798819e-11,1.7280621378290562e-13,0,0,pass,different_backend_diagnostic_only,benchmarks/artifacts/cases/050/h5_default_mpi1_20260713T075248Z
h5_default_mpi1_mumps_20260713T075715Z,5.0,1,1,1,mumps,default,"{pc_factor_mat_solver_type:mumps}",fba69d88ea8590ea01537b7561edff1684f25135,true,1230.3046875,1096.765625,1230.0,0.47155141315928562,0.36567766072570274,2.4994894250012294,0.05200379300003988,25.968884236997837,32.843699370998365,7.8184139734847746e-12,6.8611782921834674e-14,0,0,pass,same_backend_lowest_memory_slowest_mumps_rank_choice,benchmarks/artifacts/cases/050/h5_default_mpi1_20260713T075715Z
h5_default_mpi2_mumps_20260713T075429Z,5.0,2,1,2,mumps,default,{},fba69d88ea8590ea01537b7561edff1684f25135,true,1697.98046875,1411.8515625,1696.1640625,0.27067222590414508,0.18344542770195627,2.103631423000479,0.045328397001867415,19.28601831299966,25.087839081999846,7.586805439138368e-12,5.8397731095283234e-14,0,0,pass,same_backend_balanced_h3_candidate,benchmarks/artifacts/cases/050/h5_default_mpi2_20260713T075429Z
h5_default_mpi4_mumps_20260713T050814Z,5.0,4,1,4,mumps,default,{},208aaab149ca5c2be0aae09a8d893bfa02e3f8cc,true,2328.14453125,1729.03515625,2373.37109375,0.0,0.0,1.8376552690006065,0.046669377000398526,14.799822971999674,20.881705169999805,5.2246710641484914e-12,0.0,0,0,pass,formal_mpi4_baseline,benchmarks/artifacts/cases/050/h5_default_mpi4_20260713T050814Z
