mesh,n_fe,task030_peak_gib,task031_simultaneous_worker_peak_gib,reduction_fraction,task031_cgroup_current_peak_gib,legacy_internal_peak_gib,object_payload_model_gib,factor_rows,factor_nnz,peak_stage,swap_pages
h5,44698,1.687652587890625,1.619598388671875,0.0403247680873764,1.0562477111816406,1.6141395568847656,0.24211673438549042,58720,5666368,solver_stack_released_before_rta,0
h3,198438,3.7929115295410156,3.474346160888672,0.0839896649766818,2.8992156982421875,3.504711151123047,1.105485636740923,267960,26805104,coarse_operator_ready,0
h2,615108,9.374729,7.897674560546875,0.157557027990156,7.4240264892578125,8.176441192626953,3.383055478334427,798364,80743816,outer_krylov_solve,0
