candidate,num_slabs,overlap_layers,iterations,full_true_residual,factor_rows,factor_nnz,worker_peak_gib,cgroup_peak_gib,solve_s,disposition
assembled_baseline,16,0.25,200,8.611995756278665e-4,71344,7046752,1.6936187744140625,1.1200447082519531,18.47797544299101,baseline
slab16_overlap0125,16,0.125,200,1.1069641913765598e-3,58720,5666368,1.6542625427246094,1.0841140747070312,16.849495344009483,weak_positive_keep
slab20_overlap0125,20,0.125,200,1.4776878474693975e-3,67088,6392768,1.6804122924804688,1.1066398620605469,19.04711068799952,negative_stop
