case,p,h_nm,includes_floquet_mpc,includes_dtn_aux,n_complex,n_real,nnz_complex,nnz_real,fe_complex_dofs,aux_complex_dofs,relative_matvec_error,relative_rhs_error,rss_upper_gb,notes
task014a_default100_stage4_block_grating_p1_h5,1,5.0,True,True,39978,79956,2347740,9390960,39270,708,6.804783471620568e-16,0.0,0.47422027587890625,constraint-after dolfinx_mpc matrix plus auxiliary DtN rows; complex-mode export
task014a_default100_zero_order_stage4_block_grating_p1_h5,1,5.0,True,False,39270,78540,1307032,5228128,39270,0,2.1756017948460837e-16,0.0,0.3774986267089844,constraint-after dolfinx_mpc matrix; zero_order local Robin branch has no auxiliary DtN rows
task014a_tiny10_stage4_block_grating_p1_h5,1,5.0,True,True,148,296,4650,18600,144,4,1.5753489479298024e-16,0.0,0.2585334777832031,constraint-after dolfinx_mpc matrix plus auxiliary DtN rows; complex-mode export
