"case","profile","mode_id","port","diffraction_order_m","diffraction_order_n","polarization","is_propagating","is_near_cutoff","residual_norm","relative_to_total_residual","relative_to_aux_residual","notes"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","498","bottom","-1","-1","s","True","False","0.002598276221547985","0.0008123219453493924","0.001768599748885315","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","558","bottom","1","-1","s","True","False","0.00259827622154793","0.0008123219453493752","0.0017685997488852774","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","537","bottom","0","3","p","True","False","0.001445676989202519","0.00045197471095517045","0.00098404624530242","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","525","bottom","0","-3","p","True","False","0.0014456769892020654","0.00045197471095502863","0.0009840462453021112","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","171","top","0","-3","p","True","False","0.0013758938056008837","0.0004301577805665369","0.0009365460911730255","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","183","top","0","3","p","True","False","0.0013758938055996274","0.0004301577805661441","0.0009365460911721703","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","618","bottom","3","0","s","True","False","0.0011461527111262164","0.0003583318017723443","0.000780165472889701","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","442","bottom","-3","0","s","True","False","0.0011461527111247506","0.00035833180177188606","0.0007801654728887032","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","495","bottom","-1","-3","p","True","False","0.0009762035199345331","0.0003051990915337326","0.0006644841244740963","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","555","bottom","1","-3","p","True","False","0.0009762035199344526","0.00030519909153370746","0.0006644841244740416","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","507","bottom","-1","3","p","True","False","0.0009762035199341522","0.0003051990915336135","0.000664484124473837","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","567","bottom","1","3","p","True","False","0.0009762035199341124","0.0003051990915336011","0.00066448412447381","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","620","bottom","3","1","s","True","False","0.0007943396545559319","0.0002483413919219914","0.000540692672290356","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","444","bottom","-3","1","s","True","False","0.0007943396545558472","0.0002483413919219649","0.0005406926722902983","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","440","bottom","-3","-1","s","True","False","0.0007943396545557979","0.0002483413919219495","0.0005406926722902648","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_jacobi","616","bottom","3","-1","s","True","False","0.000794339654555774","0.00024834139192194196","0.0005406926722902485","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","177","top","0","0","y","True","False","1.9962302519401782","0.9990617309274042","0.9999999988553334","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","1","top","-7","-2","p","True","False","0.00033133374208448117","4.767209982372673e-05","0.00016446560625096128","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","353","top","7","2","p","True","False","0.00033112753268864885","4.764243053969649e-05","0.00016436324917411529","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","9","top","-7","2","p","True","False","0.0003101108499030993","4.461856284239188e-05","0.00015393110467242963","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","345","top","7","-2","p","True","False","0.0002895567498293969","4.1661251267856944e-05","0.00014372857441306817","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","27","top","-6","4","p","True","False","0.00022898096980594662","3.294564441776521e-05","0.00011366030450791188","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","11","top","-6","-4","p","True","False","0.00022496080659369587","3.236722574915516e-05","0.00011166479817713182","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","327","top","6","-4","p","True","False","0.0002079414856795102","2.9918496077227488e-05","0.00010321684200302891","auxiliary residual is one scalar complex residual per DtN mode"
"task014a_default100_stage4_block_grating_p1_h5","stage4_real_split_fgmres_fe_ams_aux_identity","303","top","4","6","p","True","False","0.00020464224323582698","2.944380305583928e-05","0.00010157918232715168","auxiliary residual is one scalar complex residual per DtN mode"
