case,p,h_nm,profile,status,iterations,true_relative_residual_norm,ksp_final_residual,rss_upper_gb,notes
task014a_default100_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_jacobi,not_converged,1000,0.03436220600931187,3.1985793765923987,0.6740531921386719,DIVERGED_MAX_IT
task014a_default100_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,not_converged,1000,0.021465559540488233,1.9981050120768078,0.9672393798828125,DIVERGED_MAX_IT
task014a_default100_zero_order_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_jacobi,not_converged,1000,0.43967935738871533,40.92721301059178,0.4428977966308594,DIVERGED_MAX_IT
task014a_default100_zero_order_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,not_converged,1000,0.5337074114505601,49.679741717911384,0.7789497375488281,DIVERGED_MAX_IT
task014a_tiny10_stage4_block_grating_p1_h5,1,5.0,stage4_real_split_fgmres_fe_ams_aux_identity,completed,37,9.601334814717081e-07,9.075899755809726e-06,0.2570838928222656,CONVERGED_RTOL
