iteration,ksp_residual
0,93.08422677303113
1,85.39434272389151
2,84.25199648777891
3,83.61414137843562
4,25.86364244168483
5,8.068327894612322
6,6.148330870104544
7,6.072065330177367
8,6.042201137338508
9,3.6891886738909974
10,2.4124235756767702
11,2.24586747790099
12,2.2385038853102768
13,2.23637724962609
14,2.2353179608534512
15,2.2106503489162814
16,2.2043973486196795
17,2.204089803026264
18,2.20407992506928
19,2.2031265246793073
20,2.198749597415435
21,2.19793566295116
22,2.1977496929970317
23,2.1977319749212962
24,2.196648530560123
25,2.196178556781723
26,2.195292240861383
27,2.195074762623203
28,2.1948580238840796
29,2.1943479077922623
30,2.1943440693022844
31,2.19405997914239
32,2.193875785357867
33,2.193781788325285
34,2.1937735165774352
35,2.1937247526818195
36,2.19370872234786
37,2.1936636815066333
38,2.1936356575652645
39,2.193519479097581
40,2.193519017053996
41,2.1934517999021774
42,2.1934122099375846
43,2.1933324288608493
44,2.1933318747233534
45,2.193240332718654
46,2.193239380582907
47,2.1931850332825777
48,2.1931808821870016
49,2.193054626565566
50,2.1930542663201815
51,2.1929991032468967
52,2.1929965200288732
53,2.1929507703374056
54,2.192949852854828
55,2.192928268811544
56,2.1929027711399045
57,2.1928499710773597
58,2.192846798797796
59,2.192838635028081
60,2.192763489915354
61,2.1927582211862005
62,2.192745892930859
63,2.19274527461396
64,2.192695086413501
65,2.192664521469792
66,2.1926187196053264
67,2.1926173571326806
68,2.192569388186399
69,2.1925676165486734
70,2.192512058031309
71,2.192512053103317
72,2.1924600826519187
73,2.192452634051852
74,2.192371584400316
75,2.192371547308871
76,2.1923410459155557
77,2.192332989757361
78,2.192261311793213
79,2.1922609481715405
80,2.192209632716133
81,2.1922096327150125
82,2.1922096327123657
83,2.192209632706312
84,2.1922096326837113
85,2.1922096326805907
86,2.1922096324964624
87,2.1922096258973784
88,2.1922095481837895
89,2.192209546033215
90,2.192209280809424
91,2.1922085587719464
92,2.1922041559573393
93,2.192203445522717
94,2.1922031278596465
95,2.192202411902113
96,2.1921989488670643
97,2.192197457189292
98,2.1921956927587405
99,2.19219527385531
100,2.1921945650296992
101,2.1921916004214426
102,2.192189975116171
103,2.1921889398745185
104,2.1921879037737524
105,2.192187724001153
106,2.192187681585261
107,2.1921874979406697
108,2.192187408171582
109,2.192186655135726
110,2.1921864187111124
111,2.1921862861231265
112,2.1921861429318996
113,2.192185340574922
114,2.1921848255631913
115,2.192184770158677
116,2.1921845997330323
117,2.1921839389670095
118,2.192183739616168
119,2.1921837047618165
120,2.192183566677198
121,2.1921826596900167
122,2.1921825303461717
123,2.1921825113259854
124,2.192182368371848
125,2.192182327151374
126,2.192182229875003
127,2.192181799171032
128,2.192181781929277
129,2.192179662378667
130,2.1921787926176703
131,2.192177909409407
132,2.1921779021369403
133,2.192173459222136
134,2.1921731656197787
135,2.1921721080157135
136,2.192171832298693
137,2.1921716042189385
138,2.1921714572983353
139,2.1921711319164836
140,2.1921707415388854
141,2.1921706210017415
142,2.1921705165741896
143,2.192170095354879
144,2.1921694203255027
145,2.1921688325946946
146,2.1921688216315496
147,2.1921681193582905
148,2.192162853028301
149,2.1921610103299285
150,2.1921610009053856
151,2.192160950914981
152,2.1921558189489874
153,2.1921511210231652
154,2.1921511208734583
155,2.1921511197860077
156,2.192144158967608
157,2.192137303853664
158,2.192136223140802
159,2.19213512161505
160,2.1921350036290965
161,2.1921350036290965
162,2.1921350036290876
163,2.192135003629087
164,2.1921350036283616
165,2.1921350036275116
166,2.19213500360527
167,2.192135003597291
168,2.192135002227192
169,2.1921350008292344
170,2.1921349583375336
171,2.192134935766124
172,2.192134549825216
173,2.1921345432537445
174,2.1921344275840386
