profile_name,run_stage,p,h_nm,status,ksp_type,pc_type,ksp_iterations,setup_time_seconds,solve_time_seconds,elapsed_seconds,max_rss_mb,RSS_upper_GB,matrix_rows,nnz_used,estimated_AIJ_matrix_memory_GB,residual_final_over_initial,true_relative_residual_norm
iter_gmres_none,stageA_required,2,4.0,failed,gmres,none,1000,0.0007456419989466667,26.459906400064938,38.476235636044294,421.953125,3.2965087890625,98092,10608680.0,0.23785332590341568,0.1766604378103267,0.1766604378103269
iter_gmres_none,stageA_required,2,5.0,failed,gmres,none,1000,0.00026869005523622036,11.879358995007351,31.236921668052673,357.62109375,2.793914794921875,44778,4896156.0,0.1097712442278862,0.19670438972330065,0.19670438972330057
iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,2,1.5,failed,gmres,jacobi,1000,0.12164020503405482,360.8603527090745,551.0282113619614,1790.92578125,13.991607666015625,1347314,142656204.0,3.1986529156565666,0.003558492368846422,0.16174109818404858
iter_gmres_jacobi,stageC_D_jacobi_h2_h1p5,2,2.0,failed,gmres,jacobi,1000,0.04470465600024909,161.12276251101866,233.8976894869702,1136.6171875,8.87982177734375,615188,65448472.0,1.4674708619713783,0.005036181952190794,0.19617301722076627
iter_gmres_jacobi,stageB_jacobi_h3_h2p5,2,2.5,failed,gmres,jacobi,1000,0.002013241988606751,76.52255399397109,105.69857250794303,736.75390625,5.755889892578125,298062,31901652.0,0.7152782306075096,0.006853381568509611,0.2067679570833136
iter_gmres_jacobi,stageB_jacobi_h3_h2p5,2,3.0,failed,gmres,jacobi,1000,0.0014267329825088382,50.86413099395577,82.23556783806998,554.48828125,4.331939697265625,198518,21317860.0,0.4779703840613365,0.007913479930178886,0.21223989128185458
iter_gmres_jacobi,stageA_required,2,4.0,failed,gmres,jacobi,1000,0.0007621980039402843,26.26487408799585,38.13414007599931,417.99609375,3.265594482421875,98092,10608680.0,0.23785332590341568,0.011689409057276163,0.24221201791554256
iter_gmres_jacobi,stageA_required,2,5.0,failed,gmres,jacobi,1000,0.00029180198907852173,12.087759741931222,19.62417862797156,338.3359375,2.64324951171875,44778,4896156.0,0.1097712442278862,0.01775371774900348,0.23915939733874406
iter_gmres_bjacobi_ilu0,stageA_required,2,4.0,failed,gmres,bjacobi,80,0.0008369289571419358,2.8991507249884307,14.782418230897747,417.7109375,3.26336669921875,98092,10608680.0,0.23785332590341568,46.97225496705078,1.0001994748831173
iter_gmres_bjacobi_ilu0,stageA_required,2,5.0,failed,gmres,bjacobi,1000,0.0004834379069507122,15.56000935495831,22.701554768020287,339.71875,2.654052734375,44778,4896156.0,0.1097712442278862,49.896663067355775,1.005037838764325
iter_fgmres_asm1_ilu0,stageA_required,2,4.0,failed,fgmres,asm,1000,0.15161946404259652,39.65845971601084,51.7214897290105,467.95703125,3.655914306640625,98092,10608680.0,0.23785332590341568,0.999989141948388,0.999989141948388
iter_fgmres_asm1_ilu0,stageA_required,2,5.0,failed,fgmres,asm,1000,0.09077191399410367,18.88893961906433,26.61990122392308,369.96484375,2.890350341796875,44778,4896156.0,0.1097712442278862,0.9999804077639205,0.9999804077639205
iter_fgmres_asm2_ilu0,stageA_required,2,4.0,failed,fgmres,asm,1000,0.2527182400226593,45.94256875605788,58.14518718700856,510.20703125,3.985992431640625,98092,10608680.0,0.23785332590341568,0.9999781564572814,0.9999781564572814
iter_fgmres_asm2_ilu0,stageA_required,2,5.0,failed,fgmres,asm,1000,0.18773605895694345,22.996763238101266,30.66118861490395,414.00390625,3.234405517578125,44778,4896156.0,0.1097712442278862,0.9999599614254581,0.9999599614251208
iter_fgmres_asm1_ilu1,stageA_required,2,4.0,failed,fgmres,asm,1000,0.12214923603460193,117.79275755293202,130.24470899102744,652.6640625,5.09893798828125,98092,10608680.0,0.23785332590341568,0.8903049486143192,4.057726551437073
iter_fgmres_asm1_ilu1,stageA_required,2,5.0,failed,fgmres,asm,1000,0.08395355602260679,57.98552298208233,65.49756962398533,463.57421875,3.621673583984375,44778,4896156.0,0.1097712442278862,3.46933821777928,3.4693539585820097
iter_fgmres_asm1_lu,stageA_required,2,4.0,failed,fgmres,asm,1000,0.12201885902322829,88.27762728102971,100.08609356696252,675.53125,5.277587890625,98092,10608680.0,0.23785332590341568,0.9988376397672101,0.9988376397672101
iter_fgmres_asm1_lu,stageA_required,2,5.0,failed,fgmres,asm,1000,0.08341658394783735,35.449956355965696,42.85862389393151,461.50390625,3.605499267578125,44778,4896156.0,0.1097712442278862,0.9986774004561245,0.9986774004561245
iter_fgmres_asm2_lu,stageA_required,2,4.0,failed,fgmres,asm,1000,0.2460886399494484,123.55226261401549,135.48030365002342,845.953125,6.6090087890625,98092,10608680.0,0.23785332590341568,0.997250497043405,0.9972504970434052
iter_fgmres_asm2_lu,stageA_required,2,5.0,failed,fgmres,asm,1000,0.19101263501215726,52.986890766071156,60.20332364598289,583.6875,4.56005859375,44778,4896156.0,0.1097712442278862,0.9942753442002804,0.9942753442002803
iter_bicgstab_asm1_ilu0,stageA_bicgstab_fixed,2,4.0,failed,bcgs,asm,1000,0.11217449593823403,55.15662376396358,67.15741920797154,451.19921875,3.524993896484375,98092,10608680.0,0.23785332590341568,21891.613951123254,1.0000175984182533
iter_bicgstab_asm1_ilu0,stageA_bicgstab_fixed,2,5.0,failed,bcgs,asm,1000,0.060653402004390955,26.582562063005753,45.85538276901934,372.62109375,2.911102294921875,44778,4896156.0,0.1097712442278862,5934.187552661659,1.4135895100046705
iter_bicgstab_bjacobi_ilu0,stageA_bicgstab_fixed,2,4.0,failed,bcgs,bjacobi,5,0.0005279569886624813,0.34762576792854816,11.87099609291181,417.2734375,3.25994873046875,98092,10608680.0,0.23785332590341568,38852189.36466197,1.0000020086747574
iter_bicgstab_bjacobi_ilu0,stageA_bicgstab_fixed,2,5.0,failed,bcgs,bjacobi,1000,0.00032740505412220955,20.209806836908683,26.995417934958823,338.94140625,2.647979736328125,44778,4896156.0,0.1097712442278862,11316.85623702037,0.9999427882424989
iter_fgmres_gamg,stageA_extra_gamg,2,4.0,failed,fgmres,gamg,1000,3.0043528999667615,65.0118370250566,79.7188780780416,957.64453125,7.481597900390625,98092,10608680.0,0.23785332590341568,0.1564410680675336,0.15644106806753405
iter_fgmres_gamg,stageA_extra_gamg,2,5.0,failed,fgmres,gamg,1000,1.6557599519146606,31.551115741953254,53.273507810081355,661.92578125,5.171295166015625,44778,4896156.0,0.1097712442278862,0.15437163919958546,0.15437163919958571
iter_fgmres_fieldsplit_schur_asm1_lu,stageA_extra_fieldsplit_fixed,2,4.0,failed,fgmres,fieldsplit,1000,0.055778763024136424,151.24026957107708,163.12598838307895,707.640625,5.5284423828125,98092,10608680.0,0.23785332590341568,0.9997496330998855,0.9997496330998853
iter_fgmres_fieldsplit_schur_asm1_lu,stageA_extra_fieldsplit_fixed,2,5.0,failed,fgmres,fieldsplit,1000,0.03478218300733715,56.95491599792149,76.33089229394682,469.52734375,3.668182373046875,44778,4896156.0,0.1097712442278862,0.9996267149766854,0.9996267149766855
iter_gmres_jacobi_maxit5000,diagnostic_jacobi_maxit5000,2,4.0,failed,gmres,jacobi,5000,0.0006521950708702207,125.9468820799375,136.94995694304816,418.61328125,3.270416259765625,98092,10608680.0,0.23785332590341568,0.008239013453533651,0.14391067504382768
iter_gmres_jacobi_maxit5000,diagnostic_jacobi_maxit5000,2,5.0,failed,gmres,jacobi,5000,0.00025533593725413084,57.344998512999155,76.27397080603987,353.8828125,2.76470947265625,44778,4896156.0,0.1097712442278862,0.010728400764635998,0.14268474706133868
experimental_lgmres_jacobi,diagnostic_lgmres_jacobi,2,4.0,failed,lgmres,jacobi,1000,0.0010139190126210451,25.65543303708546,37.39666164095979,417.40234375,3.260955810546875,98092,10608680.0,0.23785332590341568,0.011373967906798921,0.24256159533005
experimental_lgmres_jacobi,diagnostic_lgmres_jacobi,2,5.0,failed,lgmres,jacobi,1000,0.0004979100776836276,11.113109288970008,31.341764615965076,353.953125,2.7652587890625,44778,4896156.0,0.1097712442278862,0.017983919030949504,0.24175269977753613
experimental_hypre_boomeramg,diagnostic_hypre_boomeramg,2,5.0,failed,,,,,,22.175417728023604,357.3359375,2.79168701171875,44778,4896156.0,0.1097712442278862,,
