profile_name,run_stage,p,h_nm,status,case_status,failure_stage,returncode,ksp_converged_reason_text,ksp_iterations,residual_final_over_initial,true_relative_residual_norm,RSS_upper_GB,stdout_tail,stderr_tail
iter_fgmres_asm1_ilu0,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.999989141948388,0.999989141948388,3.655914306640625,"linear system true relative residual = 0.999989141948388
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.401955e+00
  max RSS across ranks = 468.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 49.443
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140336",
iter_fgmres_asm1_ilu0,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9999804077639205,0.9999804077639205,2.890350341796875,"linear system true relative residual = 0.9999804077639205
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.810364e+00
  max RSS across ranks = 370.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 23.785
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140310",
iter_fgmres_asm2_ilu0,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9999781564572814,0.9999781564572814,3.985992431640625,"linear system true relative residual = 0.9999781564572814
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.401873e+00
  max RSS across ranks = 510.2 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 55.928
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140459",
iter_fgmres_asm2_ilu0,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9999599614254581,0.9999599614251208,3.234405517578125,"linear system true relative residual = 0.9999599614251208
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.810225e+00
  max RSS across ranks = 414.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 28.152
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140428",
iter_fgmres_asm1_ilu1,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.8903049486143192,4.057726551437073,5.09893798828125,"linear system true relative residual = 4.057726551437073
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.590068e+00
  max RSS across ranks = 652.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 127.750
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140703",
iter_fgmres_asm1_ilu1,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,3.46933821777928,3.4693539585820097,3.621673583984375,"linear system true relative residual = 3.4693539585820097
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 2.362792e+01
  max RSS across ranks = 463.6 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 63.123
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140557",
iter_fgmres_asm1_lu,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9988376397672101,0.9988376397672101,5.277587890625,"linear system true relative residual = 0.9988376397672101
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.393431e+00
  max RSS across ranks = 675.5 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 97.949
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_140956",
iter_fgmres_asm1_lu,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9986774004561245,0.9986774004561245,3.605499267578125,"linear system true relative residual = 0.9986774004561245
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.801490e+00
  max RSS across ranks = 461.5 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 40.357
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_140913",
iter_fgmres_asm2_lu,stageA_required,2,4.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.997250497043405,0.9972504970434052,6.6090087890625,"linear system true relative residual = 0.9972504970434052
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 7.381683e+00
  max RSS across ranks = 846.0 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 133.205
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_141236",
iter_fgmres_asm2_lu,stageA_required,2,5.0,failed,failed_not_converged,,0,DIVERGED_MAX_IT,1000,0.9942753442002804,0.9942753442002803,4.56005859375,"linear system true relative residual = 0.9942753442002803
WARNING: PETSc KSP did not converge.
Linear solve summary:
  method               = iterative_krylov
  ksp_type             = fgmres
  pc_type              = asm
  pc factor solver    = None
  converged            = False
  converged reason     = -3
  reason name          = DIVERGED_MAX_IT
  iterations           = 1000
  residual norm        = 6.771510e+00
  max RSS across ranks = 583.7 MB
  official result      = False
  diagnostic only      = True
  validation role      = numerical_sanity_only
  physical benchmark  = False
  case status          = failed_not_converged
elapsed seconds = 57.837
3D case results: /work/fenics_vector_maxwell_floquet_demo_v2_parallel/results/3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_141136",
