case,p,mesh_target_size_nm,ranks,cells,dofs,dtn_auxiliary_modes,elapsed_s,max_rss_mb,linear_system_relative_residual,R_port,T_port,A_port,A_volume,closure_port_volume,R_probe,T_probe,A_probe,R_flux,T_flux,A_flux,dR_vs_rank1,dT_vs_rank1,dA_volume_vs_rank1,dclosure_vs_rank1,dR_probe_vs_rank1,dT_probe_vs_rank1,dR_flux_vs_rank1,dT_flux_vs_rank1,result_dir,pass
mpi_p1_h1p5_np1,1,1.5,1,392,1520,4,10.6633844160242,285.234375,2.984120207164504e-14,0.00017550028419201918,0.9916699716327437,0.008154528083064272,0.008154528083064133,-1.1102230246251565e-16,0.0037031972284449284,0.9433117895630738,0.05298501320848126,0.05356452481133378,0.9404677990982592,0.005967676090407048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h1p5_20260703_080325,pass
mpi_p1_h1p5_np4,1,1.5,4,392,1520,4,10.139825830992777,292.43359375,2.1412469756146687e-14,0.00017550028419204404,0.9916699716327464,0.008154528083061607,0.008154528083064256,2.6645352591003757e-15,0.003285672922575993,0.9456041458925706,0.05111018118485344,0.05356452481133489,0.9403130690950979,0.006122406093567179,2.485533480423019e-17,2.6645352591003757e-15,1.231653667943533e-16,2.7755575615628914e-15,-0.0004175243058689355,0.0022923563294967586,1.1102230246251565e-15,-0.00015473000316124086,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h1p5_np4_20260703_080339,pass
mpi_p1_h1p5_np8,1,1.5,8,392,1520,4,12.620491682959255,290.64453125,2.402627251070571e-14,0.00017550028419203146,0.9916699716327437,0.008154528083064272,0.00815452808306422,0.0,0.004070115738986552,0.94489945300827,0.051030431252743425,0.05356452481133556,0.9403540818670177,0.0060813933216467,1.2278589603398338e-17,0.0,8.673617379884035e-17,1.1102230246251565e-16,0.00036691851054162323,0.0015876634451962301,1.7763568394002505e-15,-0.00011371723124142807,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h1p5_np8_20260703_080353,pass
mpi_p2_h3p0_np1,2,3.0,1,64,1944,4,12.46007751399884,300.62109375,1.5624557177416958e-13,5.908367859172684e-06,0.9915801151763084,0.008413976455832417,0.008413976455863462,3.108624468950438e-14,0.0007299149392426131,0.9366164036902469,0.06265368137051053,0.05834252952394692,0.9358303696576913,0.005827100818361797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h3p0_20260703_080410,pass
mpi_p2_h3p0_np4,2,3.0,4,64,1944,4,12.715253298985772,299.828125,6.100928635846009e-14,5.908367859162059e-06,0.9915801151762785,0.008413976455862282,0.008413976455863175,8.881784197001252e-16,0.0007299149392427187,0.936616403690163,0.06265368137059435,0.05834252952395702,0.9358303696576554,0.005827100818387554,-1.0625181290357943e-17,-2.986499936241671e-14,-2.8622937353617317e-16,-3.019806626980426e-14,1.0560129160008813e-16,-8.393286066166183e-14,1.0103029524088925e-14,-3.5860203695392556e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h3p0_np4_20260703_080426,pass
mpi_p2_h3p0_np8,2,3.0,8,64,1944,4,16.49273674300639,305.56640625,5.5386992481738785e-14,5.908367859164929e-06,0.9915801151762735,0.008413976455867278,0.00841397645586316,-4.107825191113079e-15,0.0007299149392427556,0.9366164036901667,0.06265368137059046,0.05834252952395613,0.9358303696576522,0.005827100818391662,-7.755433665060374e-18,-3.4861002973229915e-14,-3.0184188481996443e-16,-3.519406988061746e-14,1.4257258568184383e-16,-8.01581023779363e-14,9.2148511043888e-15,-3.907985046680551e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h3p0_np8_20260703_080443,pass
