case,p,mesh_target_size_nm,cells,dofs,dtn_auxiliary_modes,elapsed_s,max_rss_mb,R_port,T_port,A_port,A_volume,closure_port_volume,R_ref_port,T_ref_port,A_ref_port,dR_port,dT_port,dA_port,R_probe,T_probe,A_probe,R_flux,T_flux,A_flux,R_probe_minus_R_port,T_probe_minus_T_port,A_probe_minus_A_volume,R_flux_minus_R_port,T_flux_minus_T_port,A_flux_minus_A_volume,linear_system_relative_residual,result_dir,pass
conv_p1_h2p7,1,2.7,64,300,4,10.045661740005016,275.4140625,0.003169296055595206,0.9894124048097561,0.007418299134648643,0.007418299134647117,-1.5543122344752192e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,0.0031682121066564247,-0.002121663335735602,-0.0010465487709224548,0.0015976943670398104,0.8111270613256978,0.1872752443072624,0.18668724610767107,0.8089586000783114,0.004354153814017492,-0.0015716016885553954,-0.17828534348405833,0.17985694517261527,0.18351795005207586,-0.18045380473144468,-0.003064145320629625,7.669237532708841e-15,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h2p7_20260703_075959,pass
conv_p1_h2p0,1,2.0,150,636,4,8.869367065955885,280.09765625,0.0005938078681733927,0.9914679685241495,0.007938223607677042,0.00793822360766844,-8.548717289613705e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,0.0005927239192346114,-6.609962134218605e-05,-0.0005266242979011324,0.00692252755313397,0.9137005218299822,0.07937695061688388,0.09168472339485523,0.9024258871479153,0.005889389457229499,0.006328719684960578,-0.07776744669416735,0.07143872700921544,0.09109091552668183,-0.08904208137623426,-0.00204883415043894,6.189271380723344e-13,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h2p0_20260703_080013,pass
conv_p1_h1p5,1,1.5,392,1520,4,9.950541020021774,285.234375,0.00017550028419201918,0.9916699716327437,0.008154528083064272,0.008154528083064133,-1.1102230246251565e-16,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,0.00017441633525323787,0.0001359034872520093,-0.00031031982250543863,0.0037031972284449284,0.9433117895630738,0.05298501320848126,0.05356452481133378,0.9404677990982592,0.005967676090407048,0.0035276969442529092,-0.04835818206966991,0.044830485125417124,0.05338902452714176,-0.05120217253448456,-0.002186851992657085,2.984120207164504e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h1p5_20260703_080026,pass
conv_p1_h1p0,1,1.0,1000,3630,4,11.046741427038796,317.98046875,6.615691874563118e-05,0.9916720433095152,0.008261799771739131,0.008261799771736909,-2.220446049250313e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,6.507296980684986e-05,0.00013797516402347387,-0.00020304813383266278,0.003749855145465426,0.962183921376915,0.03406622347761956,0.03490866161302009,0.9595488051136695,0.005542533273310446,0.003683698226719795,-0.029488121932600198,0.02580442370588265,0.034842504694274454,-0.03212323819584573,-0.002719266498426463,6.609234483671254e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h1p0_20260703_080040,pass
conv_p2_h4p0,2,4.0,36,1148,4,11.632218107988592,288.6953125,5.9083678592472375e-06,0.9915801151762803,0.008413976455860395,0.008413976455862851,2.4424906541753444e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,4.8244189204659214e-06,4.6047030788587406e-05,-5.087144970672072e-05,0.000729914939242623,0.936616403690164,0.06265368137059346,0.05834252952396202,0.9358303696576488,0.005827100818389219,0.0007240065713833759,-0.05496371148611634,0.05423970491473061,0.05833662115610277,-0.055749745518631544,-0.002586875637473632,8.521524905835106e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h4p0_20260703_080128,pass
conv_p2_h3p0,2,3.0,64,1944,4,14.093399177014362,300.01953125,5.908367859172684e-06,0.9915801151763084,0.008413976455832417,0.008413976455863462,3.108624468950438e-14,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,4.824418920391369e-06,4.604703081667605e-05,-5.08714497061101e-05,0.0007299149392426131,0.9366164036902469,0.06265368137051053,0.05834252952394692,0.9358303696576913,0.005827100818361797,0.0007240065713834404,-0.054963711486061495,0.054239704914647066,0.058336621156087745,-0.05574974551861711,-0.002586875637501665,1.5624557177416958e-13,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h3p0_20260703_080144,pass
conv_p2_h2p0,2,2.0,150,4312,4,14.339549719996285,353.7890625,1.6428735413293724e-06,0.9915440862125853,0.008454270913873407,0.008454270913871069,-2.3314683517128287e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,5.589246025480567e-07,1.0018067093553462e-05,-1.0576991698502819e-05,5.217676346788215e-06,0.9862410614012685,0.013753720922384693,0.007467315335724201,0.9862353524032487,0.006297332261027133,3.574802805458843e-06,-0.0053030248113167255,0.0052994500085136245,0.007465672462182871,-0.005308733809336608,-0.0021569386528439358,4.6978755738809336e-14,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h2p0_20260703_080205,pass
conv_p2_h1p5,2,1.5,392,10740,4,21.597780789015815,548.5078125,1.2408892874398382e-06,0.9915373175789444,0.008461441531768199,0.00846144153176705,-1.1102230246251565e-15,1.0839489387813157e-06,0.9915340681454917,0.008464847905569572,1.5694034865852255e-07,3.2494334526456115e-06,-3.406373802521123e-06,0.00020733264117875168,1.0206997564379794,-0.02090708907915806,-0.027102211134501397,1.0205136581974528,0.006588552937048631,0.00020609175189131184,0.029162438859035023,-0.02936853061092511,-0.027103452023788836,0.0289763406185084,-0.00187288859471842,2.996699205812076e-13,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h1p5_20260703_080223,pass
