p,h_nm,mpi1_status,mpi8_status,mpi1_matrix_GB,mpi8_matrix_GB,mpi1_peak_RSS_GB,mpi8_peak_RSS_per_rank_GB,mpi8_RSS_upper_GB,mpi1_elapsed_s,mpi8_elapsed_s,mpi_speedup,R_total_mpi1,R_total_mpi8,T_total_mpi1,T_total_mpi8,A_volume_mpi1,A_volume_mpi8,note
1,5.0,completed,completed,0.037111274898052216,0.037111274898052216,0.9565620422363281,0.4026336669921875,3.2210693359375,52.30942129797768,18.081619233998936,2.89296111266518,0.0026207241880214045,0.002620724188022062,0.9699128964133428,0.9699128964133644,0.02746637939861702,0.027466379398617697,
1,3.0,completed,completed,0.14378800243139267,0.14378800243139267,6.074993133544922,1.332305908203125,10.658447265625,884.4707245200407,43.925517299969215,20.135692847507126,0.0014020027735329795,0.0014020027735575334,0.9672190936378063,0.9672190936371617,0.03137890358929753,0.0313789035892882,
1,2.0,timeout,completed,0.3630913719534874,0.3630913719534874,1.6864814758300781,2.3764801025390625,19.0118408203125,2407.781646733987,565.2979242880247,4.259314501758545,,6.976281883639883e-06,,0.9663569780894967,,0.03363604562860477,mpi1_timeout
2,5.0,completed,completed,0.4213493838906288,0.4213493838906288,10.960643768310547,2.0846595764160156,16.677276611328125,1695.6519138870062,135.47762242198223,12.516103276491176,0.0007079669153429153,0.0007079669153431053,0.9646033456192958,0.9646033456193014,0.03468868746534674,0.034688687465344065,
