p,h_nm,mpi_ranks,solver_profile,side,order_m,order_n,polarization,power,amplitude_real,amplitude_imag,is_propagating
1,5.0,8,default,reflection,1,6,p,2.240824480534527e-13,-1.933833454153327e-07,-5.960385457191869e-07,True
1,5.0,8,default,reflection,1,7,s,4.576025298945919e-13,1.126322958579773e-06,-5.171485699137981e-07,True
1,5.0,8,default,reflection,1,7,p,7.184428619905707e-12,-1.4102987983552623e-06,-4.703957011996391e-06,True
1,5.0,8,default,reflection,2,-7,s,8.828354366141985e-19,-1.6640383307136461e-09,1.4189967675843775e-09,True
1,5.0,8,default,reflection,2,-7,p,4.1314669684244724e-18,-1.377778988177161e-09,-4.525823556475423e-09,True
1,5.0,8,default,reflection,2,-6,s,2.722496116362425e-15,1.0702520201613217e-09,7.230923156990311e-08,True
1,5.0,8,default,reflection,2,-6,p,2.2595420474067263e-15,-4.321859460985035e-08,-4.97253790038794e-08,True
1,5.0,8,default,reflection,2,-5,s,5.544621684192005e-15,-8.985893648523483e-08,-6.103510782909003e-10,True
1,5.0,8,default,reflection,2,-5,p,3.1986550081020825e-14,-2.0949183979885907e-07,5.193560843255709e-08,True
1,5.0,8,default,reflection,2,-4,s,2.1961576789809647e-15,-2.3268239235334675e-08,-4.7047724914231714e-08,True
1,5.0,8,default,reflection,2,-4,p,3.096261594909821e-14,-5.175786557077267e-08,-1.9016093510014392e-07,True
1,5.0,8,default,reflection,2,-3,s,1.6007424494910421e-13,4.2795255261423135e-07,-1.0199239885518338e-08,True
1,5.0,8,default,reflection,2,-3,p,3.075970997744676e-13,5.852598238561796e-07,9.796616028045661e-08,True
1,5.0,8,default,reflection,2,-2,s,8.07095849739661e-13,8.640504893751886e-07,-3.559217563730599e-07,True
1,5.0,8,default,reflection,2,-2,p,6.343270016376886e-13,7.583538876877787e-07,-3.3351171543572645e-07,True
1,5.0,8,default,reflection,2,-1,s,3.134061492044247e-11,-3.1689761641736274e-06,4.778264156761348e-06,True
