auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.7612399472677216e-06-2.3970129288326164e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7612399472677216e-06-2.3970129288326164e-07j,4.2815674128062886e-01-9.0370448980623785e-01j,-9.7070589102637784e-07+1.4890107235302908e-06j,2.9160548790285565e-09,5.832109758057114e-13,dtn_port_modal_amplitudes,5.832109758057114e-13,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.4114796852724260e-07+8.3019515613655041e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,1.4114796852724260e-07+8.3019515613655041e-08j,4.2815674128062886e-01-9.0370448980623785e-01j,1.3545856324460408e-07-9.2010687617259873e-08j,2.474945042347683e-11,4.949890084695367e-15,dtn_port_modal_amplitudes,4.949890084695367e-15,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,9.5002925975482607e-05+8.1361323701761572e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,9.5002925975482607e-05+8.1361323701761572e-05j,-4.4861738743631935e-01+8.9372391692838304e-01j,-1.1533452535514349e-04+4.8406282645020578e-05j,2.330429052034923e-05,4.660858104069847e-09,dtn_port_modal_amplitudes,4.660858104069847e-09,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.7937573518227663e-06-3.6037059774409538e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.7937573518227663e-06-3.6037059774409538e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,4.9226637333588150e-06-1.7738865196586844e-06j,4.0782739251866684e-08,8.156547850373338e-12,dtn_port_modal_amplitudes,8.156547850373338e-12,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.0115472130980591e-04-4.6522779012450555e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.0115472130980591e-04-4.6522779012450555e-05j,-9.5788529532529842e-01+2.8715111178535563e-01j,1.1025368781216129e-04+1.5516795227246221e-05j,2.027287641601876e-05,4.054575283203753e-09,dtn_port_modal_amplitudes,4.054575283203753e-09,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.0203351029131235e-15-5.6421702669787309e-14j,0.0000000000000000e+00+0.0000000000000000e+00j,3.0203351029131235e-15-5.6421702669787309e-14j,-9.5788529532529842e-01+2.8715111178535563e-01j,1.3308420068416890e-14+5.4912811907371234e-14j,5.220910748347992e-24,1.0441821496695985e-27,dtn_port_modal_amplitudes,1.0441821496695985e-27,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,9.5002926028752360e-05+8.1361323749843187e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,9.5002926028752360e-05+8.1361323749843187e-05j,-4.4861738743631935e-01+8.9372391692838304e-01j,-1.1533452542201292e-04+4.8406282671058785e-05j,2.3304290547079938e-05,4.660858109415989e-09,dtn_port_modal_amplitudes,4.660858109415989e-09,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.7937573687181996e-06+3.6037059279323392e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,3.7937573687181996e-06+3.6037059279323392e-06j,-4.4861738743631935e-01+8.9372391692838304e-01j,-4.9226636966913677e-06+1.7738865569689623e-06j,4.0782738911304693e-08,8.15654778226094e-12,dtn_port_modal_amplitudes,8.15654778226094e-12,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.7612400428070218e-06-2.3970134253180774e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.7612400428070218e-06-2.3970134253180774e-07j,4.2815674128062886e-01-9.0370448980623785e-01j,-9.7070597679978730e-07+1.4890107886122255e-06j,2.916055211608989e-09,5.832110423217979e-13,dtn_port_modal_amplitudes,5.832110423217979e-13,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.4114795931922059e-07-8.3019575960152204e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.4114795931922059e-07-8.3019575960152204e-08j,4.2815674128062886e-01-9.0370448980623785e-01j,-1.3545861383752783e-07+9.2010653458169453e-08j,2.4749457272372457e-11,4.9498914544744926e-15,dtn_port_modal_amplitudes,4.9498914544744926e-15,0.0
10,top,outgoing_up,air,-6,-4,-6,-4,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.8886823202409105e-07+6.4927201955472684e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.8886823202409105e-07+6.4927201955472684e-08j,9.9469008590626495e-01+1.0291565964316193e-01j,-3.9348540093629280e-07+2.4561813477713051e-08j,1.7773255885897356e-10,3.554651177179472e-14,dtn_port_modal_amplitudes,3.554651177179472e-14,0.0
11,top,outgoing_up,air,-6,-4,-6,-4,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-2.5132741228718347e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1.0643805853954440e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,5.7393526502235995e-08-9.3406032525590541e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,5.7393526502235995e-08-9.3406032525590541e-08j,9.9469008590626495e-01+1.0291565964316193e-01j,6.6701715258994401e-08-8.7003361877818122e-08j,1.374290298810993e-11,2.7485805976219864e-15,dtn_port_modal_amplitudes,2.7485805976219864e-15,0.0
12,top,outgoing_up,air,-6,-3,-6,-3,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-8.9865525946773766e-08-2.3413604650928876e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-8.9865525946773766e-08-2.3413604650928876e-07j,7.4995831046452544e-01-6.6148509625326746e-01j,-2.2227290326960480e-07-1.1614756777819758e-07j,1.3337517089312262e-10,2.667503417862453e-14,dtn_port_modal_amplitudes,2.667503417862453e-14,0.0
13,top,outgoing_up,air,-6,-3,-6,-3,p,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.8849555921538758e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1.9739288900240984e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.4339036119797249e-08+1.1156416506239152e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,6.4339036119797249e-08+1.1156416506239152e-07j,7.4995831046452544e-01-6.6148509625326746e-01j,1.2204962729003068e-07+4.1109159238030044e-08j,3.517215832644913e-11,7.034431665289827e-15,dtn_port_modal_amplitudes,7.034431665289827e-15,0.0
14,top,outgoing_up,air,-6,-2,-6,-2,s,-3.7699111843077515e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,2.4228735301475479e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.6952674545802305e-08+6.7286283435304054e-08j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.6952674545802305e-08+6.7286283435304054e-08j,-3.8948672055607042e-01+9.2103208115161628e-01j,-4.7580249640755301e-08-6.0241712614661481e-08j,1.5338644103815698e-11,3.06772882076314e-15,dtn_port_modal_amplitudes,3.06772882076314e-15,0.0
