case,p,h_nm,profile,mode_set,solver_label,segment_max_it,cycles_requested,cycles_completed,best_residual,best_improvement,final_residual,final_improvement,status,rss_gb,notes
task014a_default100_stage4_block_grating_p2_h5,2,5.0,full_baseline_1000_single_process_attempt,none,FE-AMS + aux identity,1000,1,0,,,,,timeout_after_7200s_no_baseline_output,12.78 observed / 13.65 limit,One-shot 1000-iteration baseline attempt remained active after 2h near WSL memory limit and produced no baseline summary; stopped and replaced by resumable 120-step segments.
task014a_default100_stage4_block_grating_p2_h5,2,5.0,baseline_continuation_iter240,none,FE-AMS + aux identity,120,1,1,0.015816065704229453,1.036038657886689,0.015816065704229453,1.036038657886689,completed,11.933631896972656,"Continuation from saved iter120 baseline state; this is AMS long-segment sanity, not sampled-Schur residual outer loop."
