p,h_nm,case,mode_set,solver_label,real_basis_dim,selected_mode_ids,max_fe_relative_residual,one_shot_residual_after,improvement,basis_condition,regularization,az_norm,z_norm,coarse_update_norm_over_x0,coarse_residual_fraction_removed,projected_az_orthogonality,build_time_s,rss_gb,notes
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_1_top_bottom_y,4,"177,531",0.27265209243644256,0.01637262611788445,1.0008202329471418,1.0025501810064643,0.0,0.2925457965336924,2.0000000000002838,0.26894785062137966,0.0008195607164401819,3.95740305693626e-17,6.555495970998891,2.2061309814453125,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.8622161349921953, 'relative_residual': 0.27265209243644256}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=1', 'iterations': 1, 'time_s': 2.9457291969738435, 'relative_residual': 0.2726502876499034}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_2_top_bottom_y,4,"177,531",0.26169007724118515,0.016369518176887858,1.001010250160757,1.0074054717191774,0.0,0.2745244822042339,2.0000000000003206,0.3176447968677736,0.001009230585395926,3.851984292039891e-17,12.332968944014283,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.739903701003641, 'relative_residual': 0.26169007724118515}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=2', 'iterations': 2, 'time_s': 5.824956080003176, 'relative_residual': 0.2614504410709234}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_4_top_bottom_y,4,"177,531",0.2550342168272233,0.0163689037976489,1.0010478213948046,1.008254478350412,0.0,0.2564357733543698,2.0000000000006555,0.34623411912633345,0.0010467246143592845,3.3610227074277384e-17,22.581275882024784,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 10.93746749998536, 'relative_residual': 0.2550342168272233}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=4', 'iterations': 4, 'time_s': 10.937135571002727, 'relative_residual': 0.2547529751397044}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_8_top_bottom_y,4,"177,531",0.2244291702618774,0.01635891753887582,1.001658908440443,1.0327020154958666,0.0,0.1781736777566105,2.000000000000275,0.6230158044626548,0.0016561610209469002,6.19297257167801e-17,41.880702711001504,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=8', 'iterations': 8, 'time_s': 20.624985288013704, 'relative_residual': 0.2244291702618774}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=8', 'iterations': 8, 'time_s': 20.27101388000301, 'relative_residual': 0.2230893978758412}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_gcrotmk_diag_rtol_0.01_maxit_16_top_bottom_y,4,"177,531",0.22125011334659447,0.01635705295598139,1.0017730901375834,1.8593499827021567,0.0,0.15139692961748555,2.000000000000371,0.6701115811819987,0.0017699518534083358,8.931545239372795e-17,75.26111995300744,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.33822164699086, 'relative_residual': 0.22125011334659447}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gcrotmk_info=16', 'iterations': 16, 'time_s': 37.123430027015274, 'relative_residual': 0.19233454259458307}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_bicgstab_diag_rtol_0.01_maxit_1_top_bottom_y,4,"177,531",0.7706876372242959,0.016383902023321868,1.0001314376717243,1.0001538896376587,0.0,2.483831905748381,2.000000000000063,0.012694477795482618,0.00013142039813340833,8.882858551621478e-17,1.1898581239802297,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.1628406799864024, 'relative_residual': 0.7706876372242959}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=1', 'iterations': 1, 'time_s': 0.1603975519828964, 'relative_residual': 0.7704561658583384}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_bicgstab_diag_rtol_0.01_maxit_2_top_bottom_y,4,"177,531",1.0871725529609977,0.016382243271534043,1.0002327040113093,1.0009264299423384,0.0,1.2435569170883285,1.9999999999999853,0.03372846628075783,0.00023264987275084525,3.797638696392143e-17,1.2528485380171333,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=2', 'iterations': 2, 'time_s': 0.2582111780066043, 'relative_residual': 1.0871725529609977}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=2', 'iterations': 2, 'time_s': 0.2638387859915383, 'relative_residual': 1.0859541453805515}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_bicgstab_diag_rtol_0.01_maxit_4_top_bottom_y,4,"177,531",47.59901274177852,0.016382613592855744,1.0002100942186252,1.0030427961573485,0.0,0.7350434617338237,2.0000000000000635,0.05419168079669647,0.00021005008831609384,9.460077927332679e-17,1.7965914749947842,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=4', 'iterations': 4, 'time_s': 0.48509127998840995, 'relative_residual': 47.59901274177852}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=4', 'iterations': 4, 'time_s': 0.522302249999484, 'relative_residual': 41.55614651293496}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_bicgstab_diag_rtol_0.01_maxit_8_top_bottom_y,4,"177,531",0.7689933874113517,0.016382221445413816,1.000234036626628,1.002592489260619,0.0,0.8097193224805824,2.000000000000112,0.051926241634248284,0.0002339818663014137,4.86378702407312e-17,2.534241438988829,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=8', 'iterations': 8, 'time_s': 0.896264009992592, 'relative_residual': 0.7682277584723111}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=8', 'iterations': 8, 'time_s': 0.8841137549898122, 'relative_residual': 0.7689933874113517}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_y,offline_scipy_bicgstab_diag_rtol_0.01_maxit_16_top_bottom_y,4,"177,531",1.9815772139823102,0.016382055631289184,1.0002441606876704,1.0025518806674074,0.0,0.5422814447331882,2.0000000000002673,0.07919425887055695,0.00024410108778094575,2.1942788625981253e-17,4.390779287990881,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=16', 'iterations': 16, 'time_s': 1.8679266140097752, 'relative_residual': 1.9101345656817734}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_bicgstab_info=16', 'iterations': 16, 'time_s': 1.7775864239956718, 'relative_residual': 1.9815772139823102}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_y,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_y,2,177,0.46296397374609305,0.016382918958318764,1.0001914510440288,1.000000000000205,0.0,0.3058282403213602,1.4142135623732206,0.08798538957524335,0.00019141439754266631,3.8122773471544356e-17,3.7824620030005462,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.1525643200147897, 'relative_residual': 0.46296397374609305}]"
2,5.0,task014a_default100_stage4_block_grating_p2_h5,top_bottom_xy,offline_scipy_gmres_diag_rtol_0.01_maxit_1_top_bottom_xy,8,"176,177,530,531",0.46302183278399334,0.016382748810257742,1.0002018388390208,1.0025339771322919,0.0,0.6112836370310205,2.8284271247463777,0.09033830305208972,0.00020179810832510192,1.3650761566178802e-16,13.98153297699173,2.341876983642578,"direct dense coarse solve; infos=[{'mode_id': 176, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.2848849940055516, 'relative_residual': 0.4629416837358984}, {'mode_id': 177, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.3711942940135486, 'relative_residual': 0.46296397374609305}, {'mode_id': 530, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.1149803570006043, 'relative_residual': 0.4629927212569601}, {'mode_id': 531, 'status': 'not_converged', 'reason': 'scipy_gmres_info=1', 'iterations': 40, 'time_s': 3.1647684470226523, 'relative_residual': 0.46302183278399334}]"
