iteration,ksp_residual
0,2.1570763359753315
1,2.15707633522058
2,2.157076335212277
3,2.15707622829786
4,2.1570759666606603
5,2.1570752546304135
6,2.1570596429330253
7,2.157057905084604
8,2.1563782746104434
9,2.156363914172563
10,2.1562974814019906
11,2.1562973778056036
12,2.156181345871212
13,2.1561030695236907
14,2.1560603022506664
15,2.1560478690346616
16,2.1560213140344633
17,2.1559719461280964
18,2.155939558663688
19,2.15591132326646
20,2.1557949615289815
21,2.155794528113984
22,2.155782596063944
23,2.155756753492427
24,2.1556840667924013
25,2.1556432470000355
26,2.155640200443144
27,2.1555867906362822
28,2.1552215194523616
29,2.1547951927185287
30,2.1546482709440755
31,2.1546308247065435
32,2.1544414671159102
33,2.153962551998003
34,2.1536150365230635
35,2.153597718619719
36,2.1534254806375666
37,2.1521692915340505
38,2.1505708866434188
39,2.1505126555558167
40,2.1505115102351686
41,2.1503650110285437
42,2.149358164607749
43,2.1492693457030057
44,2.1492628961580427
45,2.1487059268828697
46,2.1476960170400683
47,2.1473835375928183
48,2.1473414619948716
49,2.1470978886591863
50,2.146358721889629
51,2.1457024873997455
52,2.145615504029959
53,2.145155323912093
54,2.1436329139234434
55,2.142125604065746
56,2.141935524800485
57,2.141794964212744
58,2.139643431501084
59,2.1374739974080246
60,2.1373232823732256
61,2.1367777359388156
62,2.1340559639536902
63,2.1308652266602555
64,2.1301986941524547
65,2.1299139073628184
66,2.1287681726759407
67,2.1259751422522704
68,2.1252741994846094
69,2.125259853751888
70,2.1233569597505313
71,2.1190131396965928
72,2.116779922476504
73,2.116545970209322
74,2.1164879447432234
75,2.115613636812632
76,2.114334737684553
77,2.1142449313506306
78,2.1141354545306066
79,2.1126577230662
80,2.110476261482732
81,2.1102258161347223
82,2.1101837927877813
83,2.1087587399622767
84,2.1066013896897746
85,2.105901528443533
86,2.105829524967965
87,2.104985128132747
88,2.103285920967062
89,2.1022555529207962
90,2.101967408348699
91,2.101564326934132
92,2.100660668492165
93,2.1003737900320196
94,2.1002602575399947
95,2.099171593615843
96,2.0973506710203447
97,2.0963955111402237
98,2.0963670543510458
99,2.0959758980996965
100,2.094302589464929
101,2.0934762214528995
102,2.0934148163184543
103,2.093059399098653
104,2.0915403998135824
105,2.0909904704695843
106,2.0908974180839017
107,2.0906756365747423
108,2.0895063859522875
109,2.088894509424698
110,2.088778370287708
111,2.088399725445629
112,2.0871352342054648
113,2.0858854999607472
114,2.0854261684179463
115,2.0851939934967527
116,2.084449869574095
117,2.0836585784069137
118,2.0835883856362023
119,2.0831997207370105
120,2.0820423249216904
