iteration,ksp_residual
0,9.452747914624323
1,2.0038581058613265
2,1.9443503976349603
3,1.9327178733248518
4,1.930695815818742
5,1.928658368586339
6,1.9146197632875905
7,1.8895581421127885
8,1.655146095901608
9,1.4981959627122419
10,1.32103684257159
11,1.3166750159158418
12,1.2727344515020178
13,1.2611198771093384
14,1.255726171064751
15,1.0758823242837112
16,1.0707054653437393
17,0.5740960693271046
18,0.5724923694113856
19,0.1835193857943388
20,0.13146725497053605
21,0.12475200311446202
22,0.10282777734789701
23,0.03547125984450701
24,0.02503175788250001
25,0.01576706759222083
26,0.014327771453004864
27,0.012124809944554489
28,0.011216846339113285
29,0.010773449416769923
30,0.007115974441851131
31,0.007105058820531484
32,0.0024692292067788613
33,0.0016634408189531063
34,0.0008119052838277533
35,0.00032556246983211153
36,0.000271252479131285
37,9.039687302515379e-05
38,8.763871546343014e-05
39,1.679332770788326e-05
40,1.2422044762253817e-05
41,4.753229619626353e-06
