iteration,ksp_residual
0,9.452747914624323
1,2.165037683728133
2,2.0711910075573625
3,1.889003233568902
4,1.7241139661021598
5,1.6798068945257147
6,1.6692814144777568
7,1.4626372536972072
8,1.4395558179153436
9,1.2762858274832998
10,1.2274408426341048
11,1.210737037170688
12,1.19987092684892
13,1.1998674544520618
14,1.1946365964629861
15,1.1937630353314799
16,1.1926227003392476
17,1.1914134184588079
18,1.1883718697582435
19,1.1869456851138576
20,1.1869384277938773
21,1.1839787449045398
22,1.1839663409887644
23,1.1686592893793584
24,1.095612041123302
25,1.0179538229248017
26,0.6468227598384827
27,0.5301033607311924
28,0.2938498521508153
29,0.29383867534186964
30,0.28772875340464293
31,0.2447837607239601
32,0.1270562955089898
33,0.09060470839587896
34,0.029106521939744803
35,0.02910252783006335
36,0.009670666652244057
37,0.0070791335050870855
38,0.0030179334355663083
39,0.001228434290104168
40,0.00101895012044369
41,0.00021119937207627414
42,0.0001913059641372245
43,5.5403218369561994e-05
44,5.4849136264269944e-05
45,1.2149274539920262e-05
46,1.1749559952290104e-05
47,2.7564948234297677e-06
