iteration,ksp_residual
0,9.452747914624323
1,1.9691508253706742
2,1.9571208738650245
3,1.8854640408083974
4,1.8848054135509025
5,1.8592745539052695
6,1.8218782004582608
7,1.7994558258816886
8,1.5436810146116036
9,1.1748572548119725
10,1.0699165054291868
11,0.9721470100679369
12,0.3381495129314704
13,0.2537029344897929
14,0.2484658532635119
15,0.16997723649972973
16,0.11780241915497354
17,0.027809635860227583
18,0.016153912258943613
19,0.009301880512047623
20,0.00592406773660268
21,0.004980946842911635
22,0.004978824172449692
23,0.0018847492057422204
24,0.001781909641000861
25,0.0017521639629982397
26,0.001149406129921766
27,0.0009545445663696028
28,0.0009127996192095406
29,0.0008760777477730989
30,0.0005246032784660311
31,0.0005233603190416645
32,0.00017966025353390754
33,0.0001150565242937986
34,5.743015956032656e-05
35,2.511247572801978e-05
36,2.2619798308128697e-05
37,5.5065205525740085e-06
