iteration,ksp_residual
0,9.452747914624323
1,2.165038520699047
2,2.0711927574422386
3,1.8890034984639381
4,1.7241105438506332
5,1.679768407765995
6,1.6692837692998994
7,1.4616151464990426
8,1.4389865609707893
9,1.275697150377449
10,1.2162551419505032
11,1.2044764991947918
12,1.193102362506838
13,1.193102276863555
14,1.191533896267452
15,1.1913726009698764
16,1.1908852957992129
17,1.1739341337326723
18,1.1708409429494737
19,1.0999883322857515
20,1.0402337802466808
21,0.9329525747472157
22,0.6149360052927088
23,0.567883269796107
24,0.2271457398447027
25,0.2264590199016598
26,0.08452205151189282
27,0.07690207994354731
28,0.030654382099289
29,0.030400072514750052
30,0.01983770315631562
31,0.018227377161874645
32,0.012775957314219008
33,0.012752227953068147
34,0.01148013567497133
35,0.010720354129492665
36,0.010717896924889276
37,0.01025305834654603
38,0.009841681221171624
39,0.009841605370630127
40,0.009179718418717557
41,0.009123174669627145
42,0.009092700248735755
43,0.008799805803082816
44,0.008798526100486339
45,0.008245172776470598
46,0.008174366465890221
47,0.008114271580218109
48,0.006178590797618452
49,0.006124354308882797
50,0.0024051335559990327
51,0.0017447307205357176
52,0.0010051622634080345
53,0.00043708109988306045
54,0.0003307239845353929
55,7.538154985567129e-05
56,7.440005891777888e-05
57,1.7566878117728143e-05
58,1.2672036586323552e-05
59,5.2580587537857386e-06
