case,p,h_nm,h1_degree_mode,profile,status,reason,iterations,true_relative_residual_norm,ksp_final_residual,rss_upper_gb,setup_time_s,solve_time_s,elapsed_wall_s,restart,max_it,inner_ksp_type,n_real,nnz_real,B_rows,B_nnz,G_rows,G_cols,G_nnz,H1_dofs,Pi_present,Pi_nnz,ams_setup_rss_before_gb,ams_setup_rss_after_gb,notes
fe_only_p1_h10_standard,1,10.0,standard,real_split_fgmres_jacobi,completed,CONVERGED_ATOL,2,3.195071951418822e-16,2.415983115202124e-13,0.17723464965820312,7.309799912036397e-05,0.00021041900254203938,0.0019920839986298233,40,50,,1812,90360.0,906,22590.0,906,2233,51126.0,2233,False,,,,FE-only real split qualification; no official R/T/A
fe_only_p1_h10_standard,1,10.0,standard,real_split_fgmres_blockdiag_ams_positive,completed,CONVERGED_RTOL,4,7.905110932655259e-07,0.0008557533609071137,0.24811553955078125,0.15861096499793348,0.15710174700143398,0.31708948200321174,40,50,preonly,1812,90360.0,906,22590.0,906,2233,51126.0,2233,False,,0.17723464965820312,0.24811553955078125,FE-only real split qualification; no official R/T/A
