auxiliary_index,side,direction,medium,m,n,order_m,order_n,polarization,alpha,gamma,beta,kz,vertical_sign,propagating,rayleigh_warning,refractive_index,auxiliary_amplitude_total_projection,incident_projection,outgoing_amplitude,boundary_phase,outgoing_amplitude_at_boundary,modal_power_code_units,power_ratio,power_source,R,T
0,top,outgoing_up,air,-7,-2,-7,-2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.1971331803409589e-06+7.8984930378189099e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1971331803409589e-06+7.8984930378189099e-07j,8.3097619602561534e-01+5.5630797373289387e-01j,5.5538971059453640e-07+1.3223207037340505e-06j,1.898541388629068e-09,3.7970827772581363e-13,dtn_port_modal_amplitudes,3.7970827772581363e-13,0.0
1,top,outgoing_up,air,-7,-2,-7,-2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-3.3891906885631286e-08-2.1539332886073381e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,-3.3891906885631286e-08-2.1539332886073381e-07j,8.3097619602561534e-01+5.5630797373289387e-01j,9.1661658474221435e-08-1.9784106711147643e-07j,4.388074974571038e-11,8.776149949142078e-15,dtn_port_modal_amplitudes,8.776149949142078e-15,0.0
2,top,outgoing_up,air,-7,-1,-7,-1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.4639258624092732e-04-6.8427838265814998e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,1.4639258624092732e-04-6.8427838265814998e-05j,9.6540913404779050e-02-9.9532901697829090e-01j,-5.3975339003676107e-05-1.5231487496458813e-04j,3.889677436508258e-05,7.779354873016518e-09,dtn_port_modal_amplitudes,7.779354873016518e-09,0.0
3,top,outgoing_up,air,-7,-1,-7,-1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,-6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-6.3939435127314775e-06+2.7048203353449733e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,-6.3939435127314775e-06+2.7048203353449733e-06j,9.6540913404779050e-02-9.9532901697829090e-01j,2.0749090185041448e-06+6.6252033369117665e-06j,7.179402612733002e-08,1.4358805225466007e-11,dtn_port_modal_amplitudes,1.4358805225466007e-11,0.0
4,top,outgoing_up,air,-7,0,-7,0,s,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,-1.6044987585923495e-04+1.4144914414318128e-04j,0.0000000000000000e+00+0.0000000000000000e+00j,-1.6044987585923495e-04+1.4144914414318128e-04j,9.2554073422487926e-01-3.7864805465031959e-01j,-9.4943452647278806e-05+1.9167097808874537e-04j,7.482064610472088e-05,1.496412922094418e-08,dtn_port_modal_amplitudes,1.496412922094418e-08,0.0
5,top,outgoing_up,air,-7,0,-7,0,p,-4.3982297150257105e-01+0.0000000000000000e+00j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1.5222544329702142e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.5008524714957529e-15-3.3023562799415664e-16j,0.0000000000000000e+00+0.0000000000000000e+00j,1.5008524714957529e-15-3.3023562799415664e-16j,9.2554073422487926e-01-3.7864805465031959e-01j,1.2640570203151898e-15-8.7394139424991694e-16j,3.8620688654269675e-27,7.724137730853936e-31,dtn_port_modal_amplitudes,7.724137730853936e-31,0.0
6,top,outgoing_up,air,-7,1,-7,1,s,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.4639258625022200e-04-6.8427838257199643e-05j,0.0000000000000000e+00+0.0000000000000000e+00j,1.4639258625022200e-04-6.8427838257199643e-05j,9.6540913404779050e-02-9.9532901697829090e-01j,-5.3975338994203677e-05-1.5231487497300767e-04j,3.88967743673799e-05,7.779354873475981e-09,dtn_port_modal_amplitudes,7.779354873475981e-09,0.0
7,top,outgoing_up,air,-7,1,-7,1,p,-4.3982297150257105e-01+0.0000000000000000e+00j,6.2831853071795868e-02+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1.3865332245041567e-01+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,6.3939435061365916e-06-2.7048203359317846e-06j,0.0000000000000000e+00+0.0000000000000000e+00j,6.3939435061365916e-06-2.7048203359317846e-06j,9.6540913404779050e-02-9.9532901697829090e-01j,-2.0749090197248917e-06-6.6252033304043368e-06j,7.179402600643809e-08,1.4358805201287621e-11,dtn_port_modal_amplitudes,1.4358805201287621e-11,0.0
8,top,outgoing_up,air,-7,2,-7,2,s,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,1.1971331481994141e-06+7.8984934453415877e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,1.1971331481994141e-06+7.8984934453415877e-07j,8.3097619602561534e-01+5.5630797373289387e-01j,5.5538966121486620e-07+1.3223207197176172e-06j,1.898541377018912e-09,3.797082754037825e-13,dtn_port_modal_amplitudes,3.797082754037825e-13,0.0
9,top,outgoing_up,air,-7,2,-7,2,p,-4.3982297150257105e-01+0.0000000000000000e+00j,1.2566370614359174e-01+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,8.5914018327812564e-02+0.0000000000000000e+00j,1,True,False,1.0000000000000000e+00+0.0000000000000000e+00j,3.3891894801879093e-08+2.1539338773311647e-07j,0.0000000000000000e+00+0.0000000000000000e+00j,3.3891894801879093e-08+2.1539338773311647e-07j,8.3097619602561534e-01+5.5630797373289387e-01j,-9.1661701266707770e-08+1.9784110931073732e-07j,4.388077239758866e-11,8.776154479517734e-15,dtn_port_modal_amplitudes,8.776154479517734e-15,0.0
