case,profile,mode_set,omega,iterations,initial_ksp_residual,final_ksp_residual,min_ksp_residual,last_50_ratio,history_file,notes
task014a_default100_stage4_block_grating_p1_h5,initial_correction_omega_1,top_bottom_y,1.0,200,0.16126033469943826,0.15647166266052825,0.15647166266052825,0.9955506588056403,docs/task018_true_fe_sampled_schur_krylov_integration/outcomes/raw_runs/task018_default100_p1_h5/initial_correction_omega_1_history.csv,FGMRES continuation from true-FE sampled Schur initial correction
task014a_default100_stage4_block_grating_p1_h5,initial_correction_omega_0.5,top_bottom_y,0.5,200,1.0084541185336315,1.0074202138527686,1.0074202138527686,0.9999510278403596,docs/task018_true_fe_sampled_schur_krylov_integration/outcomes/raw_runs/task018_default100_p1_h5/initial_correction_omega_0.5_history.csv,FGMRES continuation from true-FE sampled Schur initial correction
task014a_default100_stage4_block_grating_p1_h5,initial_correction_omega_0.3,top_bottom_y,0.3,200,1.4029666889423669,1.4026958012675195,1.4026958012675195,0.9999900031074394,docs/task018_true_fe_sampled_schur_krylov_integration/outcomes/raw_runs/task018_default100_p1_h5/initial_correction_omega_0.3_history.csv,FGMRES continuation from true-FE sampled Schur initial correction
task014a_default100_stage4_block_grating_p1_h5,initial_correction_omega_0.1,top_bottom_y,0.1,200,1.7991006897172777,1.7990769619559184,1.7990769619559184,0.999999289697127,docs/task018_true_fe_sampled_schur_krylov_integration/outcomes/raw_runs/task018_default100_p1_h5/initial_correction_omega_0.1_history.csv,FGMRES continuation from true-FE sampled Schur initial correction
