case,profile,mode_set,solver_label,start,segment_max_it,cycles_requested,cycles_completed,best_residual,best_improvement,final_residual,final_improvement,status,rss_gb,notes
task014a_default100_stage4_block_grating_p1_h5,residual_outer_baseline_solution,top_bottom_y,scipy_gmres_diag_rtol_0.01,baseline_solution,60,4,3,0.0016983348419635554,12.635191148328495,0.0016983348419635602,12.63519114832846,stopped_stagnated,1.5708351135253906,residual-corrected outer loop with FE-AMS bounded restarts and true-FE sampled Schur finalization
task014a_default100_stage4_block_grating_p1_h5,residual_outer_zero,top_bottom_y,scipy_gmres_diag_rtol_0.01,zero,120,4,3,0.0016616234679826295,12.914348993956384,0.0016616234679826358,12.914348993956336,stopped_stagnated,1.5708351135253906,residual-corrected outer loop with FE-AMS bounded restarts and true-FE sampled Schur finalization
