case_id,status,domain_height_nm,substrate_thickness_nm,top_air_above_grating_nm,air_height_nm,grating_height_nm,h_nm,p,mpi_ranks,mesh_cells_resolved,cells,dofs,floquet_constraints,dtn_auxiliary_dofs,matrix_rows,nnz_used,avg_nnz_per_row,elapsed_seconds,max_rss_mb,power_source,result_dir,R_total_diagnostic_eh_fourier,T_total_diagnostic_eh_fourier,A_balance_diagnostic_eh_fourier,R_total_diagnostic_sampled_net_flux,T_total_diagnostic_sampled_net_flux,A_balance_diagnostic_sampled_net_flux,diagnostic_eh_minus_dtn_R,diagnostic_eh_minus_dtn_T,probe_top_z,probe_bottom_z
height70_p2_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,2,8,20x20x14,5600.0,142188,4588,708,142896,18803220.0,131.586748404434,89.69561096606776,2206.921875,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_015821,0.016301448726619153,0.7522551210836711,0.2314434301897097,0.23505655019434146,0.7417808499928327,0.023162599812825868,0.015593481811275388,-0.21234822453564783,57.5,-7.5
height110_p2_h5_np8,completed,110.0,30.0,30.0,80.0,50.0,5.0,2,8,20x20x22,8800.0,221564,7164,708,222272,27218548.0,122.45603584797006,305.3819054228952,2106.5078125,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_020025,0.017489610526750254,0.7409829459075084,0.2415274435657414,0.23455617434948295,0.7246989588535563,0.040744866796960766,0.01743529608896326,-0.19392725550923284,72.5,-22.5
height130_p2_h5_np8,completed,130.0,40.0,40.0,90.0,50.0,5.0,2,8,20x20x26,10400.0,261252,8452,708,261960,31426212.0,119.96568941823179,490.1617404000135,2724.9765625,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_020611,0.03819469874222829,1.1746707141042472,-0.21286541284647553,-0.22185794779265255,1.1417512923367352,0.08010665545591733,0.03817257508487379,0.2544476650337517,80.0,-30.0
height150_p2_h5_np8,completed,150.0,50.0,50.0,100.0,50.0,5.0,2,8,20x20x30,12000.0,300940,9740,708,301648,35633876.0,118.13065559857847,617.1188954409445,2620.20703125,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_021505,0.017128269183362153,0.7218863838514308,0.26098534696520703,0.23466467930384127,0.7074340963707685,0.057901224325390244,0.01693222759941522,-0.18353429837990565,87.5,-37.5
optional_height70_p1_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,1,8,20x20x14,5600.0,18774,1174,708,19482,1653836.0,84.89046299147931,12.892974306945689,439.5859375,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p1_h5p0_np8_20260706_022612,0.007052129050046778,0.5252849246290336,0.46766294632091954,0.47577271291386525,0.5114140546034162,0.012813232482718595,0.0044314048620243286,-0.4446279717843249,57.5,-7.5
optional_height70_p2_h4_np8,completed,70.0,10.0,10.0,60.0,50.0,4.0,2,8,27x27x19,13851.0,346610,8354,708,347318,43371936.0,124.87672968288427,1082.2555678180652,2497.5390625,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_022655,0.0002686075733512853,0.9279634855851602,0.0717679068414886,0.04154154298660706,0.9277363249727696,0.03072213204062335,0.00026760695060865477,-0.03589122217382612,57.5,-7.5
zero_contrast_height70_p1_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,1,8,20x20x14,5600.0,18774,1174,708,19482,1653836.0,84.89046299147931,15.438311542966403,426.0234375,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p1_h5p0_np8_20260706_024540,0.007293995360607487,0.5335099895404533,0.45919601509893926,0.47571320932890193,0.519421120637649,0.0048656700334490655,0.00478638426129821,-0.4515855563863366,57.5,-7.5
flat_p1_h5_np1,completed,10.0,5.0,5.0,5.0,0.0,5.0,1,1,2x2x2,8,54,22,4,58,1436.0,24.75862068965517,7.0309188140090555,278.859375,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p1_h5p0_20260706_015639,0.10993706207298663,0.5220239845477892,0.3680389533792242,0.5013542560287705,0.4970535684201039,0.001592175551125674,0.05864556135129575,-0.4206509219646082,3.75,-3.75
flat_p2_h5_np1,completed,10.0,5.0,5.0,5.0,0.0,5.0,2,1,2x2x2,8,300,76,4,304,29268.0,96.27631578947368,10.446878955001011,284.1015625,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_flat_layer_sanity_normal_p2_h5p0_20260706_015730,0.005137273972734207,0.8749493959022706,0.11991333012499517,0.12204888209751641,0.8732639315925411,0.00468718630994247,0.0032822116515691044,-0.11536585369235808,3.75,-3.75
