case_id,status,domain_height_nm,substrate_thickness_nm,top_air_above_grating_nm,air_height_nm,grating_height_nm,h_nm,p,mpi_ranks,mesh_cells_resolved,cells,dofs,floquet_constraints,dtn_auxiliary_dofs,matrix_rows,nnz_used,avg_nnz_per_row,elapsed_seconds,max_rss_mb,power_source,result_dir,R_total_diagnostic_eh_fourier,T_total_diagnostic_eh_fourier,A_balance_diagnostic_eh_fourier,R_total_diagnostic_sampled_net_flux,T_total_diagnostic_sampled_net_flux,A_balance_diagnostic_sampled_net_flux,diagnostic_eh_minus_dtn_R,diagnostic_eh_minus_dtn_T,probe_top_z,probe_bottom_z,R_total,T_total,A_balance,R_total_dtn_port_modal,T_total_dtn_port_modal,R_plus_T_dtn_port_modal,A_volume_total,R_plus_T_plus_A_volume_dtn_port_modal,energy_closure_error_dtn_port_modal_volume,A_port_balance_minus_A_volume_total
height70_p2_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,2,8,20x20x14,5600.0,142188,4588,708,142896,18803220.0,131.586748404434,89.69561096606776,2206.921875,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_015821,0.016301448726619153,0.7522551210836711,0.2314434301897097,0.23505655019434146,0.7417808499928327,0.023162599812825868,0.015593481811275388,-0.21234822453564783,57.5,-7.5,0.0007079669153437648,0.9646033456193189,0.034688687465337265,0.0007079669153437648,0.9646033456193189,0.9653113125346627,0.03468868746534483,1.0000000000000075,7.549516567451064e-15,-7.563394355258879e-15
height110_p2_h5_np8,completed,110.0,30.0,30.0,80.0,50.0,5.0,2,8,20x20x22,8800.0,221564,7164,708,222272,27218548.0,122.45603584797006,305.3819054228952,2106.5078125,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_020025,0.017489610526750254,0.7409829459075084,0.2415274435657414,0.23455617434948295,0.7246989588535563,0.040744866796960766,0.01743529608896326,-0.19392725550923284,72.5,-22.5,5.431443778699372e-05,0.9349102014167412,0.06503548414547178,5.431443778699372e-05,0.9349102014167412,0.9349645158545282,0.06503548414547367,1.0000000000000018,1.7763568394002505e-15,-1.887379141862766e-15
height130_p2_h5_np8,completed,130.0,40.0,40.0,90.0,50.0,5.0,2,8,20x20x26,10400.0,261252,8452,708,261960,31426212.0,119.96568941823179,490.1617404000135,2724.9765625,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_020611,0.03819469874222829,1.1746707141042472,-0.21286541284647553,-0.22185794779265255,1.1417512923367352,0.08010665545591733,0.03817257508487379,0.2544476650337517,80.0,-30.0,2.212365735450169e-05,0.9202230490704955,0.07975482727215,2.212365735450169e-05,0.9202230490704955,0.92024517272785,0.07975482727216482,1.0000000000000149,1.4876988529977098e-14,-1.482147737874584e-14
height150_p2_h5_np8,completed,150.0,50.0,50.0,100.0,50.0,5.0,2,8,20x20x30,12000.0,300940,9740,708,301648,35633876.0,118.13065559857847,617.1188954409445,2620.20703125,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h5p0_np8_20260706_021505,0.017128269183362153,0.7218863838514308,0.26098534696520703,0.23466467930384127,0.7074340963707685,0.057901224325390244,0.01693222759941522,-0.18353429837990565,87.5,-37.5,0.00019604158394693325,0.9054206822313364,0.09438327618471665,0.00019604158394693325,0.9054206822313364,0.9056167238152834,0.09438327618468591,0.9999999999999692,-3.0753177782116836e-14,3.073929999430902e-14
optional_height70_p1_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,1,8,20x20x14,5600.0,18774,1174,708,19482,1653836.0,84.89046299147931,12.892974306945689,439.5859375,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p1_h5p0_np8_20260706_022612,0.007052129050046778,0.5252849246290336,0.46766294632091954,0.47577271291386525,0.5114140546034162,0.012813232482718595,0.0044314048620243286,-0.4446279717843249,57.5,-7.5,0.0026207241880224492,0.9699128964133585,0.027466379398619067,0.0026207241880224492,0.9699128964133585,0.9725336206013809,0.02746637939861748,0.9999999999999984,-1.5543122344752192e-15,1.5890067039947553e-15
optional_height70_p2_h4_np8,completed,70.0,10.0,10.0,60.0,50.0,4.0,2,8,27x27x19,13851.0,346610,8354,708,347318,43371936.0,124.87672968288427,1082.2555678180652,2497.5390625,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p2_h4p0_np8_20260706_022655,0.0002686075733512853,0.9279634855851602,0.0717679068414886,0.04154154298660706,0.9277363249727696,0.03072213204062335,0.00026760695060865477,-0.03589122217382612,57.5,-7.5,1.0006227426305596e-06,0.9638547077589863,0.03614429161827104,1.0006227426305596e-06,0.9638547077589863,0.963855708381729,0.03614429161824155,0.9999999999999705,-2.9531932455029164e-14,2.949029909160572e-14
zero_contrast_height70_p1_h5_np8,completed,70.0,10.0,10.0,60.0,50.0,5.0,1,8,20x20x14,5600.0,18774,1174,708,19482,1653836.0,84.89046299147931,15.438311542966403,426.0234375,dtn_port_modal_amplitudes,C:\Users\admin\Desktop\Code\fenics_vector_maxwell_floquet_demo_v2_parallel\results\3D_stage4_block_grating_normal_p1_h5p0_np8_20260706_024540,0.007293995360607487,0.5335099895404533,0.45919601509893926,0.47571320932890193,0.519421120637649,0.0048656700334490655,0.00478638426129821,-0.4515855563863366,57.5,-7.5,0.002507611099309277,0.9850955459267898,0.012396842973900868,0.002507611099309277,0.9850955459267898,0.9876031570260991,0.012396842973903642,1.0000000000000027,2.6645352591003757e-15,-2.7738228380869145e-15
