method,R,T,A,role,status,source
port,0.00017550028419201918,0.9916699716327437,0.008154528083064272,primary,ok,dtn_auxiliary_port_amplitudes
probe_eh_fourier,0.0037031972284449284,0.9433117895630738,0.05298501320848126,cross_check,ok,eh_fourier_orders
net_flux,0.05356452481133378,0.9404677990982592,0.005967676090407048,diagnostic,ok,sampled_poynting_flux
volume_absorption,,,0.008154528083064133,absorption_check,ok,volume_integral_Im_epsilon_E2
