h_nm,solver_profile,status,case_status,ksp_converged,ksp_iterations,RSS_upper_GB,peak_RSS_per_rank_max_GB,rss_rank_sum_GB,elapsed_wall_s,assemble_elapsed_s,solve_time_s,setup_time_seconds,swap_delta_GB,source_csv
1.5,iter_fgmres_mumps_blr_eps1e-5,failed,,,,13.8050537109375,1.7256317138671875,13.8050537109375,1761.8432872160338,1761.8432872160338,,,0.004245758056640625,results/matrix_scale_20260707_025936/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-3,timeout,,,,16.268951416015625,2.033618927001953,16.268951416015625,1801.332448879024,1801.332448879024,,,19.599166870117188,results/matrix_scale_20260707_014819/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-4,completed,completed,True,7,18.091888427734375,2.261486053466797,18.091888427734375,1233.9342700359412,1233.9342700359412,578.2672628930304,547.9003593899542,0.01068115234375,results/matrix_scale_20260707_032944/matrix_scale.csv
2.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,4,17.85272216796875,2.2315902709960938,17.85272216796875,1357.5722813329194,1357.5722813329194,675.5641932450235,576.9165275550913,-0.003955841064453125,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,15,14.42242431640625,1.8028030395507812,14.42242431640625,83.487656073994,83.487656073994,12.136929518077523,32.57156794797629,0.0,results/matrix_scale_20260707_014819/matrix_scale.csv
2.5,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,4,14.603363037109375,1.8254203796386719,14.603363037109375,164.90802382398397,164.90802382398397,39.37555722508114,78.56929294404108,0.00180816650390625,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,15,10.288055419921875,1.2860069274902344,10.288055419921875,64.01479058200493,64.01479058200493,6.406947692972608,18.681345397955738,0.0,results/matrix_scale_20260707_014819/matrix_scale.csv
3.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,10.49896240234375,1.3123703002929688,10.49896240234375,73.00056332105305,73.00056332105305,4.249954460072331,36.306104439892806,-19.132568359375,results/matrix_scale_20260707_014819/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,11,6.35400390625,0.79425048828125,6.35400390625,19.994722233037464,19.994722233037464,1.164921474060975,5.6455742249963805,0.0,results/matrix_scale_20260707_014137/matrix_scale.csv
4.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,6.38653564453125,0.7983169555664062,6.38653564453125,19.964718133909628,19.964718133909628,0.33677559602074325,5.753928400925361,0.0,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-3,completed,completed,True,8,4.026702880859375,0.5033378601074219,4.026702880859375,26.779282359057106,26.779282359057106,0.344783183070831,1.7965397619409487,0.0,results/matrix_scale_20260707_014137/matrix_scale.csv
5.0,iter_fgmres_mumps_blr_eps1e-5,completed,completed,True,3,3.843017578125,0.480377197265625,3.843017578125,11.30023024789989,11.30023024789989,0.1689053779700771,2.4248060680693015,0.0,results/matrix_scale_20260707_014137/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,False,1000,3.93035888671875,0.49129486083984375,3.93035888671875,56.009558254037984,56.009558254037984,37.50888584298082,0.09285148198250681,0.0,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,False,1000,5.4791259765625,0.6848907470703125,5.4791259765625,105.03971589996945,105.03971589996945,86.4288702920312,0.10642096400260925,-0.000244140625,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,False,1000,3.884033203125,0.485504150390625,3.884033203125,55.85968858492561,55.85968858492561,37.61188542598393,0.10733076301403344,0.0,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,False,1000,3.881561279296875,0.4851951599121094,3.881561279296875,56.98982369503938,56.98982369503938,37.9390599320177,0.09747936204075813,0.0,results/matrix_scale_20260707_024939/matrix_scale.csv
4.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,False,1000,3.86297607421875,0.48287200927734375,3.86297607421875,56.39251088502351,56.39251088502351,37.613115840009414,0.24428797594737262,-0.000732421875,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_ilu0,failed,failed_not_converged,False,1000,3.0206298828125,0.3775787353515625,3.0206298828125,38.12336112500634,38.12336112500634,17.987131959060207,0.06150635797530413,0.0,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_positive_maxwell_asm1_lu,failed,failed_not_converged,False,1000,3.56243896484375,0.44530487060546875,3.56243896484375,44.21249134792015,44.21249134792015,34.02738957304973,0.05708352092187852,0.0,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p2_asm1_ilu0,failed,failed_not_converged,False,1000,3.07525634765625,0.38440704345703125,3.07525634765625,50.75809968903195,50.75809968903195,17.804814100963995,0.06027809402439743,-0.00146484375,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,False,1000,3.02288818359375,0.37786102294921875,3.02288818359375,38.286828508018516,38.286828508018516,18.088609099038877,0.051424551056697965,-0.000732421875,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a1p0_asm1_ilu0,failed,failed_not_converged,False,1000,3.0284423828125,0.3785552978515625,3.0284423828125,38.69394986901898,38.69394986901898,17.93404853902757,0.058002131059765816,-0.000244140625,results/matrix_scale_20260707_024939/matrix_scale.csv
5.0,iter_fgmres_shifted_a0p5_asm1_ilu0,failed,failed_not_converged,False,1000,3.067138671875,0.383392333984375,3.067138671875,54.06432101293467,54.06432101293467,17.890683506033383,0.07160994701553136,-0.000732421875,results/matrix_scale_20260707_024809/matrix_scale.csv
